Description,N,DE,P.DE,FDR,SigGenesInSet
Long-term depression,60,4,0.0025994338205743346,0.9669893812536524,"PLCB1,GRM1,PRKCA,PRKG1"
IgSF CAM signaling,296,8,0.007703744332386371,1,"DCC,EPB41L2,LMO7,MAP2,PRKCA,SRGAP1,ROBO2,TJP2"
Gap junction,89,4,0.008559511969388678,1,"PLCB1,GRM1,PRKCA,PRKG1"
Olfactory transduction,407,5,0.011783307233360213,1,"OR8J1,OR4S1,OR52N2,PRKG1,OR8J3"
Taste transduction,85,3,0.01646885910590076,1,"PLCB1,GABRA6,GRM1"
African trypanosomiasis,36,2,0.018928837107506157,1,"PLCB1,PRKCA"
GnRH secretion,64,3,0.023947468357111753,1,"PLCB1,HCN1,PRKCA"
Long-term potentiation,67,3,0.025940985155852976,1,"PLCB1,GRM1,PRKCA"
Retrograde endocannabinoid signaling,141,4,0.02700737086777396,1,"PLCB1,GABRA6,GRM1,PRKCA"
Salivary secretion,93,3,0.03445983859565509,1,"PLCB1,PRH1,PRKCA,PRKG1"
Ether lipid metabolism,51,2,0.03915424418947765,1,"ENPP2,UGT8"
Axon guidance,181,5,0.039274281662390755,1,"DCC,EPHA5,PRKCA,SRGAP1,ROBO2"
Amoebiasis,100,3,0.04782841061075177,1,"PLCB1,FN1,PRKCA"
GABAergic synapse,89,3,0.05121580172279407,1,"GPHN,GABRA6,PRKCA"
AGE-RAGE signaling pathway in diabetic complications,100,3,0.05295527693353157,1,"PLCB1,FN1,PRKCA"
Vibrio cholerae infection,50,2,0.056570410769746046,1,"PRKCA,TJP2"
Circadian entrainment,97,3,0.07044783777908645,1,"PLCB1,PRKCA,PRKG1"
Neuroactive ligand signaling,199,4,0.07949389143088229,1,"CHRM2,PLCB1,GABRA6,GRM1,PRKCA"
Endocrine and other factor-regulated calcium reabsorption,53,2,0.090353792012092607,1,"PLCB1,PRKCA"
Vascular smooth muscle contraction,134,3,0.09827861827190922,1,"PLCB1,PRKCA,PRKG1"
RNA degradation,78,2,0.09863117166672658,1,"BTG3,SKIC3"
Platelet activation,125,3,0.10119158314566097,1,"PLCB1,PRKG1,TBXAS1"
Glutamatergic synapse,116,3,0.11226256603986967,1,"PLCB1,GRM1,PRKCA"
Spinocerebellar ataxia,142,3,0.11590361101093452,1,"PLCB1,GRM1,PRKCA"
Renin-angiotensin system,23,1,0.12198574752821893,1,PRCP
Thyroid hormone synthesis,75,2,0.13332635882165533,1,"PLCB1,PRKCA"
Folate biosynthesis,28,1,0.13700718025768718,1,GPHN
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,30,1,0.15247121067777034,1,PIGN
Polycomb repressive complex,83,2,0.15295532727639044,1,"SCMH1,AUTS2"
Nucleocytoplasmic transport,107,2,0.15405219247963042,1,"IPO11,THOC2"
Gastric acid secretion,76,2,0.1633650980777587,1,"PLCB1,PRKCA"
Pancreatic secretion,101,2,0.171275354407753,1,"PLCB1,PRKCA"
