Description,N,DE,P.DE,FDR,SigGenesInSet
Autoimmune thyroid disease,51,4,9.578431068966596e-5,0.02176752070311701,"HLA-DQA1,HLA-DQB1,HLA-DRB1,TPO"
Type I diabetes mellitus,42,4,1.1702968119955382e-4,0.02176752070311701,"HLA-DQA1,HLA-DQB1,HLA-DRB1,PTPRN2"
Staphylococcus aureus infection,93,4,2.8722154014345643e-4,0.028586835017830943,"HLA-DQA1,HLA-DQB1,HLA-DRB1,C3"
Asthma,29,3,3.0738532277237575e-4,0.028586835017830943,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Leishmaniasis,75,4,4.6217892477521544e-4,0.03438611200327603,"HLA-DQA1,HLA-DQB1,HLA-DRB1,C3"
Rheumatoid arthritis,91,4,7.320990593214595e-4,0.04179188270463576,"HLA-DQA1,HLA-DQB1,HLA-DRB1,TEK"
Allograft rejection,36,3,9.66123599590633e-4,0.04179188270463576,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Systemic lupus erythematosus,122,4,9.815638421899473e-4,0.04179188270463576,"HLA-DQA1,HLA-DQB1,HLA-DRB1,C3"
Graft-versus-host disease,39,3,0.0010673947994797703,0.04179188270463576,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Intestinal immune network for IgA production,46,3,0.0011234377071138646,0.04179188270463576,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Inflammatory bowel disease,64,3,0.004457037731866326,0.15072891238675212,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Antigen processing and presentation,71,3,0.006172748892395696,0.19135521566426658,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Influenza A,168,4,0.007502956595643784,0.21469998873688367,"HLA-DQA1,HLA-DQB1,HLA-DRB1,TMPRSS4"
Hematopoietic cell lineage,93,3,0.009443611117305205,0.2414261386036218,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Starch and sucrose metabolism,35,2,0.010855153542256296,0.2414261386036218,"GAA,HK2"
Galactose metabolism,31,2,0.011811141765876686,0.2414261386036218,"GAA,HK2"
Tuberculosis,178,4,0.01207886733998283,0.2414261386036218,"HLA-DQA1,HLA-DQB1,HLA-DRB1,C3"
Herpes simplex virus 1 infection,176,4,0.012187460222394857,0.2414261386036218,"HLA-DQA1,HLA-DQB1,HLA-DRB1,C3"
Viral myocarditis,67,3,0.012330904928679609,0.2414261386036218,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Cell adhesion molecule (CAM) interaction,155,4,0.016677681777588587,0.31020488106314775,"CDH4,HLA-DQA1,HLA-DQB1,HLA-DRB1"
Th1 and Th2 cell differentiation,91,3,0.019824389700409194,0.35117490326439144,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Glycerophospholipid metabolism,102,3,0.023422141092402954,0.3960471130169954,"SGMS1,LPCAT1,DGKI"
Th17 cell differentiation,107,3,0.029029650323207274,0.46952304001013506,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Toxoplasmosis,110,3,0.032505130356896825,0.49900644301446434,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
HIF-1 signaling pathway,109,3,0.03353537923484303,0.49900644301446434,"HK2,PDK1,TEK"
Phagocytosis,251,4,0.03673631867746721,0.5256119441545309,"HLA-DQA1,HLA-DQB1,HLA-DRB1,C3"
"Neomycin, kanamycin and gentamicin biosynthesis",5,1,0.04125031814022458,0.5683377165986498,HK2
Human T-cell leukemia virus 1 infection,220,4,0.049724830022790364,0.6606298845885006,"HLA-DQA1,HLA-DQB1,HLA-DRB1,MAD1L1"
Lysine degradation,63,2,0.06043658511613609,0.7752555056276768,"PRDM16,SMYD3"
Metabolic pathways,1558,12,0.07059576545018265,0.8753874915822648,"ST3GAL6,FASN,GAA,SGMS1,HK2,MAN2A1,PRDM16,ACOT1,SMYD3,TPO,LPCAT1,DGKI"
Nucleocytoplasmic transport,107,2,0.07912598257235955,0.9495117908683146,"TNPO2,NUP93"
Central carbon metabolism in cancer,70,2,0.08640780990469141,1,"HK2,PDK1"
Other glycan degradation,18,1,0.09283764993418413,1,MAN2B1
Epstein-Barr virus infection,201,3,0.09996059712812753,1,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Chagas disease,102,2,0.11195414270122636,1,"PPP2R1A,C3"
Phototransduction,28,1,0.11264755152307153,1,GNB1
Glycosphingolipid biosynthesis - lacto and neolacto series,28,1,0.12069423629577239,1,ST3GAL6
Fatty acid biosynthesis,17,1,0.12079594602057038,1,FASN
Fatty acid elongation,28,1,0.13429683134925496,1,ACOT1
Tyrosine metabolism,36,1,0.13766703750135523,1,TPO
Biosynthesis of unsaturated fatty acids,27,1,0.14935192244498258,1,ACOT1
Oocyte meiosis,127,2,0.1505365875176276,1,"PPP2R1A,MAD1L1"
Alcoholic liver disease,143,2,0.161900520905092,1,"FASN,C3"
Fructose and mannose metabolism,36,1,0.1668076013635848,1,HK2
Amino sugar and nucleotide sugar metabolism,38,1,0.16793721093685704,1,HK2
Biosynthesis of nucleotide sugars,37,1,0.17283084915520605,1,HK2
Cell cycle,158,2,0.18542130423933229,1,"PPP2R1A,MAD1L1"
Ferroptosis,41,1,0.19144968510265847,1,STEAP3
Sphingolipid signaling pathway,123,2,0.1955564469369384,1,"SGMS1,PPP2R1A"
Aminoacyl-tRNA biosynthesis,43,1,0.20267031874373834,1,IARS1
AMPK signaling pathway,120,2,0.20285100926673105,1,"FASN,PPP2R1A"
Ether lipid metabolism,51,1,0.20556812846773168,1,LPCAT1
Various types of N-glycan biosynthesis,44,1,0.21849280391181786,1,MAN2A1
Legionellosis,56,1,0.22069390174030562,1,C3
Insulin signaling pathway,139,2,0.222602529914268,1,"FASN,HK2"
Carbohydrate digestion and absorption,46,1,0.23193300060168798,1,HK2
N-Glycan biosynthesis,55,1,0.24234940660432036,1,MAN2A1
Glycolysis / Gluconeogenesis,67,1,0.24863025679145134,1,HK2
Sphingolipid metabolism,55,1,0.24915595543085073,1,SGMS1
Dopaminergic synapse,131,2,0.2519325771206147,1,"GNB1,PPP2R1A"
Olfactory transduction,407,2,0.2653598222943092,1,"GNB1,OR2A5"
Efferocytosis,155,2,0.2675345594943292,1,"ATP11A,PPARD"
Pertussis,77,1,0.26825214508253636,1,C3
Ovarian steroidogenesis,52,1,0.27651206401742723,1,ACOT1
Complement and coagulation cascades,88,1,0.2780334292975073,1,C3
Tight junction,171,2,0.281023614864296,1,"LLGL2,PPP2R1A"
Fatty acid metabolism,56,1,0.2836046336943002,1,FASN
Type II diabetes mellitus,46,1,0.30362200521214344,1,HK2
Glycerolipid metabolism,64,1,0.3087733290529401,1,DGKI
Hippo signaling pathway,157,2,0.3093330899649204,1,"LLGL2,PPP2R1A"
Kaposi sarcoma-associated herpesvirus infection,194,2,0.31345094318042893,1,"GNB1,C3"
Viral carcinogenesis,193,2,0.3150194807650181,1,"C3,MAD1L1"
PPAR signaling pathway,76,1,0.31763582799217405,1,PPARD
p53 signaling pathway,75,1,0.34576269252106306,1,STEAP3
Lysosome biogenesis,248,2,0.3613294889308829,1,"GAA,MAN2B1"
Long-term depression,60,1,0.36194957954018775,1,PPP2R1A
mRNA surveillance pathway,95,1,0.3669169846862892,1,PPP2R1A
Acute myeloid leukemia,67,1,0.3757056220936551,1,PPARD
Thyroid hormone synthesis,75,1,0.39941186828029057,1,TPO
PI3K-Akt signaling pathway,357,3,0.40188937618698667,1,"GNB1,PPP2R1A,TEK"
Polycomb repressive complex,83,1,0.407438937880562,1,FOXK1
Carbon metabolism,116,1,0.4100582028312004,1,HK2
Shigellosis,244,2,0.41303801991408456,1,"HK2,C3"
Spliceosome,150,1,0.4236400023172207,1,CTNNBL1
Progesterone-mediated oocyte maturation,98,1,0.4429379731683674,1,MAD1L1
TGF-beta signaling pathway,110,1,0.4675331507537793,1,PPP2R1A
Endocytosis,249,2,0.47437248414965166,1,"RNF103-CHMP3,ASAP2"
Necroptosis,160,1,0.4748935823236697,1,RNF103-CHMP3
Ras signaling pathway,235,2,0.480685597486888,1,"GNB1,TEK"
GABAergic synapse,89,1,0.49123011245382925,1,GNB1
Phosphatidylinositol signaling system,97,1,0.4945758216342827,1,DGKI
Fc gamma R-mediated phagosome formation,96,1,0.49548320470753837,1,ASAP2
Serotonergic synapse,113,1,0.507456754105682,1,GNB1
Choline metabolism in cancer,98,1,0.508255748794461,1,DGKI
Morphine addiction,91,1,0.5327846192416303,1,GNB1
Circadian entrainment,97,1,0.5448102861917006,1,GNB1
Protein processing in endoplasmic reticulum,171,1,0.5492682927118591,1,DNAJC5B
T cell receptor signaling pathway,118,1,0.5505850610564156,1,PPP2R1A
Neutrophil extracellular trap formation,175,1,0.5552446862619821,1,C3
Hepatitis C,155,1,0.5571586567599706,1,PPP2R1A
Alcoholism,174,1,0.5841591084019522,1,GNB1
Coronavirus disease,234,1,0.5851109098146171,1,C3
Cornified envelope formation,213,1,0.5873683819548914,1,PPP2R1A
Relaxin signaling pathway,129,1,0.5885297562565406,1,GNB1
Retrograde endocannabinoid signaling,141,1,0.590576419334484,1,GNB1
Signaling pathways regulating pluripotency of stem cells,142,1,0.5921567881108873,1,MEIS1
Cholinergic synapse,114,1,0.5987079258485214,1,GNB1
Apelin signaling pathway,139,1,0.6109254921591123,1,GNB1
Glutamatergic synapse,116,1,0.6110880480583722,1,GNB1
