ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
CC,RAVE complex,3,2,1.8652353167727552e-4,1,"DMXL1,DMXL2"
MF,pyrimidine nucleotide-sugar transmembrane transporter activity,10,2,0.0011768810037618457,1,"SLC35A1,SLC35A3"
BP,pyrimidine nucleotide-sugar transmembrane transport,11,2,0.001699834495019914,1,"SLC35A1,SLC35A3"
MF,nucleotide-sugar transmembrane transporter activity,12,2,0.0020044311178897185,1,"SLC35A1,SLC35A3"
BP,endothelial cell activation,11,2,0.002333757246257544,1,"BMPER,SMAD4"
BP,nucleotide-sugar transmembrane transport,12,2,0.00235739120403118,1,"SLC35A1,SLC35A3"
CC,cerebellar Golgi cell to granule cell synapse,1,1,0.0032596504813916707,1,GABRA6
BP,histone lysine methylation,33,3,0.004597223436648244,1,"AUTS2,SETD2,ASH2L"
MF,CMP-N-acetylneuraminate transmembrane transporter activity,1,1,0.004685264021863005,1,SLC35A1
BP,CMP-N-acetylneuraminate transmembrane transport,1,1,0.004685264021863005,1,SLC35A1
MF,acetylglucosaminyltransferase activity,45,3,0.0052034226531857105,1,"B3GNT3,HEXB,ALG13"
CC,cell-cell contact zone,72,4,0.005331660633112043,1,"ANK3,AHNAK,TJP2,AKAP6"
MF,guanylate kinase activity,9,2,0.00545840214476057,1,"MAGI3,TJP2"
MF,glyceryl-ether monooxygenase activity,1,1,0.005527934161320564,1,AGMO
MF,interleukin-22 receptor binding,2,1,0.006291552870880371,1,IL22
BP,histone methylation,38,3,0.0063674099062048795,1,"AUTS2,SETD2,ASH2L"
BP,GDP metabolic process,11,2,0.006927530736981173,1,"MAGI3,TJP2"
BP,positive regulation of cell proliferation involved in heart valve morphogenesis,1,1,0.007534700692140473,1,SMAD4
BP,female gonad morphogenesis,1,1,0.007534700692140473,1,SMAD4
BP,regulation of cardiac myofibril assembly,1,1,0.007534700692140473,1,SMAD4
BP,negative regulation of cardiac myofibril assembly,1,1,0.007534700692140473,1,SMAD4
BP,mucopolysaccharide metabolic process,92,4,0.008197425090145084,1,"B3GNT3,EGF,HEXB,HS2ST1"
BP,regulation of delayed rectifier potassium channel activity,19,2,0.008758536629926724,1,"ANK3,AKAP6"
BP,regulation of hematopoietic stem cell differentiation,17,2,0.009285701462998168,1,"CDK6,N4BP2L2"
MF,aspartate-tRNA ligase activity,2,1,0.010111136620645715,1,DARS1
BP,aspartyl-tRNA aminoacylation,2,1,0.010111136620645715,1,DARS1
BP,male courtship behavior,1,1,0.01020020289616388,1,HEXB
BP,peptidyl-lysine methylation,53,3,0.010364532231404282,1,"AUTS2,SETD2,ASH2L"
MF,heparan sulfate 2-O-sulfotransferase activity,1,1,0.011085624053927646,1,HS2ST1
MF,"3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity",1,1,0.011498349862262879,1,HSD17B4
CC,Golgi to plasma membrane transport vesicle,2,1,0.012354373668104691,1,RAB3IP
BP,neuroblast delamination,1,1,0.01242231322003261,1,AKNA
BP,regulation of cation channel activity,122,4,0.013232043656395711,1,"GNB5,ANK3,AHNAK,AKAP6"
CC,beta-N-acetylhexosaminidase complex,2,1,0.013437017964443567,1,HEXB
BP,histone H3-K36 trimethylation,1,1,0.01362296280372365,1,SETD2
MF,mannose transmembrane transporter activity,1,1,0.014202984650592332,1,SLC5A10
BP,mannose transmembrane transport,1,1,0.014202984650592332,1,SLC5A10
MF,mannose:sodium symporter activity,1,1,0.014202984650592332,1,SLC5A10
MF,fructose:sodium symporter activity,1,1,0.014202984650592332,1,SLC5A10
CC,T-tubule,51,3,0.014230755196966588,1,"ANK3,AHNAK,AKAP6"
MF,17-beta-hydroxysteroid dehydrogenase (NAD+) activity,2,1,0.014601873958068634,1,HSD17B4
