Description,N,DE,P.DE,FDR,SigGenesInSet
Progesterone-mediated oocyte maturation,98,4,0.007222151611327926,1,"ADCY9,RPS6KA2,STK10,MAD1L1"
GABAergic synapse,89,4,0.01186261901521262,1,"ADCY9,PRKCA,CACNA1D,GABBR2"
Pathways in cancer,530,10,0.012960980849775242,1,"BCL2L11,APC2,ADCY9,RASGRP3,GLI2,JAK1,MGST1,MLH1,PRKCA,LPAR2"
Morphine addiction,91,4,0.017578217165665395,1,"ADCY9,PDE4B,PRKCA,GABBR2"
Chemical carcinogenesis - receptor activation,216,5,0.019469030297010335,1,"ADCY9,MGST1,PRKCA,RPS6KA2,CACNA1D"
GnRH secretion,64,3,0.028892999441952984,1,"PRKCA,CACNA1D,GABBR2"
Colorectal cancer,86,3,0.038144782771349195,1,"BCL2L11,APC2,MLH1"
Mucin type O-glycan biosynthesis,36,2,0.040785619276847096,1,"ST6GALNAC1,GALNT16"
Measles,135,3,0.05260627296382145,1,"EIF2S1,JAK1,CD3D,CD3G"
EGFR tyrosine kinase inhibitor resistance,78,3,0.053167568480310845,1,"BCL2L11,JAK1,PRKCA"
Insulin secretion,86,3,0.05386843311136933,1,"ADCY9,PRKCA,CACNA1D"
Vibrio cholerae infection,50,2,0.05442989909636938,1,"ADCY9,PRKCA"
GnRH signaling pathway,93,3,0.05646859601986553,1,"ADCY9,PRKCA,CACNA1D"
Oocyte meiosis,127,3,0.06066646449240957,1,"ADCY9,RPS6KA2,MAD1L1"
Apoptosis,136,3,0.07158125158828572,1,"BCL2L11,CTSS,EIF2S1"
Influenza A,168,3,0.07676825433537668,1,"EIF2S1,JAK1,PRKCA"
Aldosterone synthesis and secretion,98,3,0.07956860023015769,1,"ADCY9,PRKCA,CACNA1D"
Circadian entrainment,97,3,0.08484316167276765,1,"ADCY9,PRKCA,CACNA1D"
Dilated cardiomyopathy,104,3,0.08498226641835144,1,"ADCY9,DMD,CACNA1D"
Wnt signaling pathway,177,4,0.08639497507363347,1,"APC2,ROR2,PRKCA,LGR5"
Platinum drug resistance,74,2,0.08686660269812682,1,"MGST1,MLH1"
Basal cell carcinoma,63,2,0.09210488470449082,1,"APC2,GLI2"
Endocrine and other factor-regulated calcium reabsorption,53,2,0.09727130377986948,1,"ADCY9,PRKCA"
Selenocompound metabolism,17,1,0.10225943105739808,1,SCLY
