Description,N,DE,P.DE,FDR,SigGenesInSet
Glioma,75,3,0.040668727614007555,1,"E2F3,IGF1R,CAMK2G"
Efferocytosis,155,4,0.05031238712292226,1,"MERTK,PPARD,BSG,CAMK2G"
Epstein-Barr virus infection,201,4,0.06213697305028719,1,"E2F3,HLA-DPB1,IFNAR2,NCOR2"
Inflammatory mediator regulation of TRP channels,98,3,0.0801583964276095,1,"HRH1,PRKCH,CAMK2G"
Neuroactive ligand signaling,199,4,0.08291121400629249,1,"CHRM1,GRM4,HRH1,SLC17A9"
Hematopoietic cell lineage,93,2,0.1056787400987386,1,"HLA-DPB1,IL5RA"
Melanoma,72,2,0.13289623732586825,1,"E2F3,IGF1R"
Asthma,29,1,0.14231048818755673,1,HLA-DPB1
Axon guidance,181,4,0.15269224890346092,1,"EFNA5,EFNB1,CAMK2G,NCK2"
Mannose type O-glycan biosynthesis,23,1,0.16195118629435257,1,FKRP
Progesterone-mediated oocyte maturation,98,2,0.1853471847988198,1,"IGF1R,FZR1,RPS6KA1"
Kaposi sarcoma-associated herpesvirus infection,194,3,0.18755187082751107,1,"E2F3,HCK,IFNAR2"
Nicotinate and nicotinamide metabolism,37,1,0.18851917334837237,1,NNMT
PI3K-Akt signaling pathway,357,5,0.1917742470349435,1,"CHRM1,EFNA5,IFNAR2,IGF1R,TNN"
Necroptosis,160,2,0.19215193819332171,1,"IFNAR2,CAMK2G"
Motor proteins,194,3,0.20010571700673502,1,"DYNLT5,MYO1E,MYO18B"
Natural killer cell mediated cytotoxicity,125,2,0.20509971562664867,1,"IFNAR2,SH3BP2"
Calcium signaling pathway,252,4,0.2075846176316101,1,"CHRM1,HRH1,ITPKB,CAMK2G"
Allograft rejection,36,1,0.22225249867461155,1,HLA-DPB1
Graft-versus-host disease,39,1,0.2240746300629399,1,HLA-DPB1
Intestinal immune network for IgA production,46,1,0.22560415532491643,1,HLA-DPB1
Homologous recombination,41,1,0.2286037836731786,1,BABAM2
Integrin signaling,153,3,0.22867182995282465,1,"IGF1R,TNN,NCK2"
Oocyte meiosis,127,2,0.23115038700901647,1,"IGF1R,RPS6KA1,CAMK2G"
ECM-receptor interaction,89,2,0.23212270088300954,1,"TNN,SV2A"
Fc gamma R-mediated phagosome formation,96,2,0.23546016524134694,1,"HCK,SCIN"
ErbB signaling pathway,84,2,0.23963633627132802,1,"CAMK2G,NCK2"
Arachidonic acid metabolism,62,1,0.24266737676609018,1,TBXAS1
HIF-1 signaling pathway,109,2,0.2435901030202816,1,"IGF1R,CAMK2G"
JAK-STAT signaling pathway,163,2,0.25256244035840425,1,"IFNAR2,IL5RA"
Autoimmune thyroid disease,51,1,0.25841094312750335,1,HLA-DPB1
Endocrine resistance,96,2,0.2585786027551195,1,"E2F3,IGF1R"
Influenza A,168,2,0.2587936787790128,1,"HLA-DPB1,IFNAR2"
MicroRNAs in cancer,318,3,0.2660610930429277,1,"E2F3,EFNA5,TNN"
Prostate cancer,105,2,0.2693066650196234,1,"E2F3,IGF1R"
NOD-like receptor signaling pathway,184,2,0.27019379050776376,1,"IFNAR2,NLRC4"
Legionellosis,56,1,0.274263804314756,1,NLRC4
Staphylococcus aureus infection,93,1,0.27477914598101694,1,HLA-DPB1
Cholesterol metabolism,52,1,0.27966545720358466,1,OSBPL5
Mucin type O-glycan biosynthesis,36,1,0.2811058970278868,1,GALNT16
Osteoclast differentiation,134,2,0.2825473046943456,1,"IFNAR2,TREM2"
Type I diabetes mellitus,42,1,0.2867485100861637,1,HLA-DPB1
Hepatitis C,155,2,0.2879576436618191,1,"E2F3,IFNAR2"
Neuroactive ligand-receptor interaction,367,3,0.2881994807130649,1,"CHRM1,GRM4,HRH1"
Cell cycle,158,2,0.2906619138441593,1,"E2F3,FZR1"
Pathways in cancer,530,6,0.3014748658124557,1,"E2F3,IFNAR2,IGF1R,IL5RA,PPARD,CAMK2G"
Ubiquitin mediated proteolysis,142,2,0.3022623719886691,1,"FBXW8,PRKN,FZR1"
Cytokine-cytokine receptor interaction,293,2,0.306061002016758,1,"IFNAR2,IL5RA"
Tuberculosis,178,2,0.3185448873473796,1,"HLA-DPB1,CAMK2G"
