Description,N,DE,P.DE,FDR,SigGenesInSet
Glutamatergic synapse,116,5,0.005940711438185146,0.4142358268890018,"GNAQ,GRIK4,PPP3CC,CACNA1A,CACNA1C"
Calcium signaling pathway,252,7,0.006611425974484538,0.4142358268890018,"PTK2B,GNAQ,HRC,PPP3CC,SLC8A2,CACNA1A,CACNA1C"
Gap junction,89,4,0.008306458911248043,0.4142358268890018,"TUBB3,TUBB,GNAQ,PRKG1"
Type II diabetes mellitus,46,3,0.01004777301572476,0.4142358268890018,"PIK3R1,CACNA1A,CACNA1C"
Natural killer cell mediated cytotoxicity,125,4,0.011014748733844221,0.4142358268890018,"PTK2B,MICB,PIK3R1,PPP3CC"
Serotonergic synapse,113,4,0.012726917896471538,0.4142358268890018,"GNAQ,PTGS1,CACNA1A,CACNA1C"
Regulation of lipolysis in adipocytes,58,3,0.012907605491842318,0.4142358268890018,"PIK3R1,PRKG1,PTGS1"
cGMP-PKG signaling pathway,165,5,0.01425503643318436,0.4142358268890018,"GNAQ,PPP3CC,PRKG1,SLC8A2,CACNA1C"
Biosynthesis of cofactors,154,4,0.014320329446808788,0.4142358268890018,"NADK2,DHODH,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A3,CTPS2"
Alzheimer disease,372,7,0.015171368196121377,0.4142358268890018,"TUBB3,TUBB,GNAQ,LRP5,PIK3R1,PPP3CC,CACNA1C"
Renin secretion,69,3,0.017645551080491855,0.4142358268890018,"GNAQ,PPP3CC,CACNA1C"
Long-term depression,60,3,0.019612976804883192,0.4142358268890018,"GNAQ,PRKG1,CACNA1A"
Chemical carcinogenesis - receptor activation,216,5,0.02049162460627753,0.4142358268890018,"CYP3A4,PIK3R1,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A3,CACNA1A,CACNA1C"
Cardiac muscle contraction,83,3,0.0214090159955129,0.4142358268890018,"HRC,SLC8A2,CACNA1C"
Human immunodeficiency virus 1 infection,212,5,0.021825993813291537,0.4142358268890018,"AP1S3,PTK2B,GNAQ,PIK3R1,PPP3CC"
Prion disease,259,5,0.02284586052254313,0.4142358268890018,"TUBB3,TUBB,PIK3R1,PPP3CC,CACNA1C"
Bile secretion,89,3,0.023160581925393053,0.4142358268890018,"CYP3A4,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A3,SLC4A5"
GnRH secretion,64,3,0.023849559468630436,0.4142358268890018,"GNAQ,PIK3R1,CACNA1C"
Vascular smooth muscle contraction,134,4,0.02455325070483192,0.4142358268890018,"GNAQ,PPP1R12B,PRKG1,CACNA1C"
Cholinergic synapse,114,4,0.02462939856354614,0.4142358268890018,"GNAQ,PIK3R1,CACNA1A,CACNA1C"
Platelet activation,125,4,0.02473369929869192,0.4142358268890018,"GNAQ,PIK3R1,PRKG1,PTGS1"
Long-term potentiation,67,3,0.02478667559662809,0.4142358268890018,"GNAQ,PPP3CC,CACNA1C"
Yersinia infection,135,4,0.027644215336669102,0.4142358268890018,"ARPC3,PTK2B,GNAQ,PIK3R1"
