ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
MF,MHC class II receptor activity,9,3,2.6523893634032228e-5,0.46838866129977913,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
BP,MHC class II protein complex assembly,14,3,9.917743013205887e-5,0.46838866129977913,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
BP,peptide antigen assembly with MHC class II protein complex,14,3,9.917743013205887e-5,0.46838866129977913,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
CC,MHC class II protein complex,15,3,1.0977863720418439e-4,0.46838866129977913,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
CC,lysosomal membrane,435,10,1.2367241541096086e-4,0.46838866129977913,"ATP11A,TMEM9,GAA,GNB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,OCA2,PLEKHF1,LPCAT1"
CC,lytic vacuole membrane,435,10,1.2367241541096086e-4,0.46838866129977913,"ATP11A,TMEM9,GAA,GNB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,OCA2,PLEKHF1,LPCAT1"
BP,MHC protein complex assembly,18,3,1.9335027383449472e-4,0.5492114528268822,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
BP,peptide antigen assembly with MHC protein complex,18,3,1.9335027383449472e-4,0.5492114528268822,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
CC,vacuolar membrane,478,10,2.4968586275219405e-4,0.5761060170414197,"ATP11A,TMEM9,GAA,GNB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,OCA2,PLEKHF1,LPCAT1"
BP,hexose metabolic process,233,7,2.535231548325206e-4,0.5761060170414197,"FOXK1,GAA,HK2,MAN2A1,MAN2B1,PDK1,PPARD"
BP,antigen processing and presentation of exogenous peptide antigen via MHC class II,29,3,4.359250031391818e-4,0.7925535764074293,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
MF,MHC class II protein complex binding,25,3,4.754376063078194e-4,0.7925535764074293,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
CC,lytic vacuole,749,12,5.335654688951517e-4,0.7925535764074293,"ATP11A,TMEM9,GAA,GNB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,MAN2B1,OCA2,C3,PLEKHF1,LPCAT1"
CC,lysosome,749,12,5.335654688951517e-4,0.7925535764074293,"ATP11A,TMEM9,GAA,GNB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,MAN2B1,OCA2,C3,PLEKHF1,LPCAT1"
BP,monosaccharide metabolic process,261,7,5.35183098713783e-4,0.7925535764074293,"FOXK1,GAA,HK2,MAN2A1,MAN2B1,PDK1,PPARD"
CC,MHC protein complex,23,3,5.754640316884208e-4,0.7925535764074293,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
MF,antigen binding,65,4,5.92915454978274e-4,0.7925535764074293,"HLA-DQA1,HLA-DQB1,HLA-DRB1,PPP2R1A"
BP,antigen processing and presentation of peptide antigen via MHC class II,33,3,7.201670900267328e-4,0.9091709418759708,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
CC,lumenal side of endoplasmic reticulum membrane,27,3,8.697793258589856e-4,1,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
BP,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,35,3,9.072651849280037e-4,1,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
MF,MHC protein complex binding,35,3,0.001156116097459799,1,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
CC,Golgi apparatus subcompartment,374,8,0.0011575751879744959,1,"SGMS1,HOOK2,HLA-DQA1,HLA-DQB1,HLA-DRB1,MAN2A1,ZDHHC14,ASAP2"
CC,vacuole,838,12,0.0012959968559461935,1,"ATP11A,TMEM9,GAA,GNB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,MAN2B1,OCA2,C3,PLEKHF1,LPCAT1"
BP,antigen processing and presentation of exogenous peptide antigen,38,3,0.0013309763979496272,1,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
CC,lumenal side of membrane,36,3,0.0014520106366906218,1,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
BP,mannose metabolic process,9,2,0.001576806286828816,1,"MAN2A1,MAN2B1"
BP,lysosome organization,108,4,0.001753162948430387,1,"TMEM9,GAA,HOOK2,OCA2"
BP,lytic vacuole organization,108,4,0.001753162948430387,1,"TMEM9,GAA,HOOK2,OCA2"
BP,positive regulation of viral entry into host cell,14,2,0.0018101921850715358,1,"HLA-DRB1,TMPRSS4"
BP,positive regulation by symbiont of entry into host,14,2,0.0018101921850715358,1,"HLA-DRB1,TMPRSS4"
BP,antigen processing and presentation of exogenous antigen,47,3,0.0021831337210751565,1,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
BP,intracellular glucose homeostasis,156,5,0.0022730009753972142,1,"FOXK1,HK2,HLA-DRB1,PTPRN2,BRSK2"
MF,peptide antigen binding,33,3,0.0023928080951115664,1,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
CC,Golgi cisterna,114,4,0.0028212372636580323,1,"SGMS1,MAN2A1,ZDHHC14,ASAP2"
MF,alpha-mannosidase activity,14,2,0.00329529819990276,1,"MAN2A1,MAN2B1"
BP,protein deglycosylation,15,2,0.0034639289968998815,1,"MAN2A1,MAN2B1"
CC,spectrin-associated cytoskeleton,9,2,0.0034696174251505384,1,"ANK1,SPTB"
