Description,N,DE,P.DE,FDR,SigGenesInSet
HIF-1 signaling pathway,109,5,0.0022661624310181274,0.6288230625772341,"EGFR,IGF1R,PFKP,CAMK2G,CUL2"
Bladder cancer,41,3,0.006161563763599112,0.6288230625772341,"E2F3,EGFR,DAPK2"
Glioma,75,4,0.006937405073734539,0.6288230625772341,"E2F3,EGFR,IGF1R,CAMK2G"
Progesterone-mediated oocyte maturation,98,4,0.007099889713456719,0.6288230625772341,"IGF1R,FZR1,RPS6KA2,MAD1L1"
Neuroactive ligand-receptor interaction,367,6,0.008451922884102608,0.6288230625772341,"CHRM1,GRIK1,GRM4,HRH1,THRB,TRPV1"
Oocyte meiosis,127,4,0.011703086032329836,0.7255913340044499,"IGF1R,RPS6KA2,CAMK2G,MAD1L1"
Inflammatory mediator regulation of TRP channels,98,4,0.017731092445054573,0.904485884273104,"HRH1,PRKCH,TRPV1,CAMK2G"
Endocytosis,249,6,0.01951826655430938,0.904485884273104,"EHD1,EGFR,IGF1R,PARD3,SNX6,RAB11FIP4"
Neuroactive ligand signaling,199,5,0.021882723006607353,0.904485884273104,"CHRM1,GNB1,GRIK1,GRM4,HRH1"
Melanoma,72,3,0.024429143303157423,0.9087641308774562,"E2F3,EGFR,IGF1R"
Glutamatergic synapse,116,4,0.03948227546515608,1,"DLG4,GNB1,GRIK1,GRM4"
mTOR signaling pathway,155,4,0.04118283881984997,1,"GRB10,IGF1R,RPS6KA2,PRR5L"
Type I diabetes mellitus,42,2,0.041729279494171434,1,"HLA-DPB1,PTPRN2"
Kaposi sarcoma-associated herpesvirus infection,194,4,0.058296223209951495,1,"MICA,E2F3,GNB1,HCK"
Ras signaling pathway,235,5,0.062493397278427176,1,"EFNA5,EGFR,RASA3,GNB1,IGF1R"
Adherens junction,93,3,0.07189341164376402,1,"EGFR,IGF1R,PARD3"
Endocrine resistance,96,3,0.0734493614479184,1,"E2F3,EGFR,IGF1R"
Pathways in cancer,530,8,0.07470034093768543,1,"E2F3,EGFR,DAPK2,GNB1,IGF1R,PPARD,CAMK2G,CUL2"
Cell cycle,158,3,0.07860895362107558,1,"E2F3,FZR1,MAD1L1"
Prostate cancer,105,3,0.07883895040294205,1,"E2F3,EGFR,IGF1R"
PI3K-Akt signaling pathway,357,6,0.07978631524541299,1,"CHRM1,EFNA5,EGFR,GNB1,IGF1R,TNN"
MicroRNAs in cancer,318,4,0.09926454460663539,1,"E2F3,EFNA5,EGFR,TNN"
Cholinergic synapse,114,3,0.12438545186933113,1,"CHRM1,GNB1,CAMK2G"
Phototransduction,28,1,0.12736142299375736,1,GNB1
Breast cancer,147,3,0.13214176749043768,1,"E2F3,EGFR,IGF1R"
Asthma,29,1,0.1350389390285849,1,HLA-DPB1
"Glycine, serine and threonine metabolism",39,1,0.1397461537439006,1,GATM
Central carbon metabolism in cancer,70,2,0.1398139189015337,1,"EGFR,PFKP"
Autophagy - animal,166,3,0.14267423775022733,1,"DAPK2,GORASP2,IGF1R"
Long-term potentiation,67,2,0.14831167513994073,1,"RPS6KA2,CAMK2G"
Pancreatic cancer,76,2,0.1493110698831282,1,"E2F3,EGFR"
Rap1 signaling pathway,210,4,0.15093509236655092,1,"EFNA5,EGFR,IGF1R,PARD3"
Axon guidance,181,4,0.15197277718541746,1,"EFNA5,EFNB1,PARD3,CAMK2G"
Efferocytosis,155,3,0.15207129356105792,1,"AGER,PPARD,CAMK2G"
Pentose phosphate pathway,31,1,0.15446964153686907,1,PFKP
Mannose type O-glycan biosynthesis,23,1,0.1545902032680823,1,FKRP
Olfactory transduction,407,2,0.16605715705773105,1,"GNB1,CAMK2G"
Hormone signaling,217,3,0.16861044414841803,1,"GNB1,IGF1R,THRB"
Nicotinate and nicotinamide metabolism,37,1,0.1751696158163475,1,NNMT
Hepatocellular carcinoma,169,3,0.17704594478702157,1,"E2F3,EGFR,IGF1R"
Chemokine signaling pathway,192,3,0.1786100967869395,1,"GNB1,HCK,PARD3"
Cushing syndrome,155,3,0.17970540790034023,1,"E2F3,EGFR,CAMK2G"
Non-small cell lung cancer,72,2,0.1817291548678267,1,"E2F3,EGFR"
Steroid hormone biosynthesis,65,1,0.18424861826471645,1,SRD5A1
Galactose metabolism,31,1,0.1874954136401663,1,PFKP
Glucagon signaling pathway,105,2,0.19615991986946435,1,"PFKP,CAMK2G"
Phagocytosis,251,3,0.19788225801211956,1,"FCN1,HLA-DPB1,MARCO"
Natural killer cell mediated cytotoxicity,125,2,0.1986502098485774,1,"MICA,CD244"
Calcium signaling pathway,252,4,0.19993912178325385,1,"CHRM1,EGFR,HRH1,CAMK2G"
Fructose and mannose metabolism,36,1,0.20101886428196503,1,PFKP
Arginine and proline metabolism,50,1,0.20618921372881163,1,GATM
Intestinal immune network for IgA production,46,1,0.21057831934811858,1,HLA-DPB1
Allograft rejection,36,1,0.21364421168092063,1,HLA-DPB1
Graft-versus-host disease,39,1,0.21515440951835707,1,HLA-DPB1
GnRH signaling pathway,93,2,0.2196451152615666,1,"EGFR,CAMK2G"
EGFR tyrosine kinase inhibitor resistance,78,2,0.22198652122717005,1,"EGFR,IGF1R"
Integrin signaling,153,3,0.2248223412981299,1,"EGFR,IGF1R,TNN"
Arachidonic acid metabolism,62,1,0.2266409504322841,1,TBXAS1
ErbB signaling pathway,84,2,0.23771942990840947,1,"EGFR,CAMK2G"
Virion - Hepatitis viruses,48,1,0.23833321328456863,1,EGFR
Integrated stress response (ISR) signaling pathway,51,1,0.2465734240376473,1,GRB10
Aminoacyl-tRNA biosynthesis,43,1,0.2505097148771417,1,FARS2
Autoimmune thyroid disease,51,1,0.25210397911088267,1,HLA-DPB1
Legionellosis,56,1,0.2554182466325318,1,NLRC4
Staphylococcus aureus infection,93,1,0.2582201220039149,1,HLA-DPB1
Cholesterol metabolism,52,1,0.26645143332941085,1,OSBPL5
FoxO signaling pathway,132,2,0.26918891295545944,1,"EGFR,IGF1R"
Hepatitis C,155,2,0.2729244846692854,1,"E2F3,EGFR"
Human T-cell leukemia virus 1 infection,220,3,0.27347515606266903,1,"E2F3,HLA-DPB1,MAD1L1"
RIG-I-like receptor signaling pathway,72,1,0.2796442576099802,1,ZNFX1
Mucin type O-glycan biosynthesis,36,1,0.2800294387215401,1,GALNT16
Glycolysis / Gluconeogenesis,67,1,0.2821349164234561,1,PFKP
Ubiquitin mediated proteolysis,142,2,0.2825697071901079,1,"FZR1,CUL2"
Proteoglycans in cancer,202,3,0.2828269028112735,1,"EGFR,IGF1R,CAMK2G"
Pyrimidine metabolism,57,1,0.28323655346779997,1,HDDC2
Circadian entrainment,97,2,0.28712839679537744,1,"GNB1,CAMK2G"
MAPK signaling pathway,299,4,0.28851271794978883,1,"EFNA5,EGFR,IGF1R,RPS6KA2"
Human cytomegalovirus infection,226,3,0.2888239951977586,1,"E2F3,EGFR,GNB1"
Neurotrophin signaling pathway,119,2,0.29557419310184824,1,"RPS6KA2,CAMK2G"
Tuberculosis,178,2,0.298332676508256,1,"HLA-DPB1,CAMK2G"
AMPK signaling pathway,120,2,0.3068845810412831,1,"IGF1R,PFKP"
Diabetic cardiomyopathy,189,2,0.3087699862403541,1,"AGER,CAMK2G"
Biosynthesis of amino acids,74,1,0.31247426844001275,1,PFKP
Relaxin signaling pathway,129,2,0.32299336108118254,1,"EGFR,GNB1"
Yersinia infection,135,2,0.32439905246562706,1,"NLRC4,RPS6KA2"
Signaling pathways regulating pluripotency of stem cells,142,2,0.32796653521259805,1,"IGF1R,JARID2"
Inflammatory bowel disease,64,1,0.33224586550249025,1,HLA-DPB1
Ovarian steroidogenesis,52,1,0.3358068221040609,1,IGF1R
Systemic lupus erythematosus,122,1,0.3373493510231094,1,HLA-DPB1
Thyroid hormone signaling pathway,121,2,0.3444823818541217,1,"PFKP,THRB"
Other types of O-glycan biosynthesis,49,1,0.3489616575640595,1,GALNT16
Leishmaniasis,75,1,0.3563648209953207,1,HLA-DPB1
Focal adhesion,201,3,0.3610004954219209,1,"EGFR,IGF1R,TNN"
Cocaine addiction,49,1,0.3619273076448475,1,DLG4
RNA degradation,78,1,0.3640202075612571,1,PFKP
Cell adhesion molecule (CAM) interaction,155,2,0.36635743664517473,1,"HLA-DPB1,SELL"
Antigen processing and presentation,71,1,0.3684973710284317,1,HLA-DPB1
PPAR signaling pathway,76,1,0.3689639455133793,1,PPARD
