Description,N,DE,P.DE,FDR,SigGenesInSet
Cortisol synthesis and secretion,65,4,0.006061261402548648,1,"ADCY9,CREB1,PLCB1,PDE8B"
Thyroid hormone synthesis,75,4,0.006460270548798585,1,"ADCY9,CREB1,ALB,PLCB1"
Melanogenesis,101,4,0.019792044234314254,1,"ADCY9,CREB1,CTNNB1,PLCB1"
Cushing syndrome,155,5,0.02386590435336601,1,"ADCY9,CREB1,CTNNB1,PLCB1,PDE8B"
Circadian rhythm,34,2,0.040951935755527774,1,"CREB1,NPAS2"
"Parathyroid hormone synthesis, secretion and action",115,4,0.04197517452344034,1,"ADCY9,CREB1,PLCB1,PDE4D"
Nucleocytoplasmic transport,107,3,0.042916871758798755,1,"NUP98,IPO11,THOC2"
Vasopressin-regulated water reabsorption,44,2,0.05435188394824918,1,"ADCY9,CREB1"
"Valine, leucine and isoleucine degradation",48,2,0.05484436849505515,1,"ACADSB,OXCT1"
Various types of N-glycan biosynthesis,44,2,0.05728038640786093,1,"HEXB,ALG13"
ATP-dependent chromatin remodeling,115,3,0.06063234999603008,1,"ARID1B,MTA3,TRRAP"
Carbohydrate digestion and absorption,46,2,0.06121704451968479,1,"PLCB1,GNAT3"
Insulin secretion,86,3,0.06949848806035161,1,"ADCY9,CREB1,PLCB1"
Longevity regulating pathway,89,3,0.07087153602475557,1,"ADCY9,CREB1,APPL1"
Huntington disease,293,5,0.07134661595332303,1,"DNAH14,CREB1,PLCB1,APAF1,DNAH7"
Vibrio cholerae infection,50,2,0.07139641590136842,1,"ADCY9,TJP2"
Pyrimidine metabolism,57,2,0.07167751933328251,1,"DPYD,NT5C3A"
Adrenergic signaling in cardiomyocytes,152,4,0.07726581520703749,1,"ADCY9,CREB1,PLCB1,CACNA2D1"
Sphingolipid metabolism,55,2,0.0791242642629097,1,"HEXB,UGT8"
Arrhythmogenic right ventricular cardiomyopathy,86,3,0.0844811412425218,1,"CTNNB1,ITGB6,SNTB1,CACNA2D1"
Morphine addiction,91,3,0.09296696814584152,1,"ADCY9,PDE4D,PDE8B"
Aldosterone synthesis and secretion,98,3,0.09823333953343703,1,"ADCY9,CREB1,PLCB1"
Circadian entrainment,97,3,0.10330653701555532,1,"ADCY9,CREB1,PLCB1"
Purine metabolism,127,3,0.10647500933084662,1,"ADCY9,PDE4D,PDE8B"
Glycosphingolipid biosynthesis - globo and isoglobo series,16,1,0.11101623401339998,1,HEXB
Dilated cardiomyopathy,104,3,0.11177358913004018,1,"ADCY9,ITGB6,SNTB1,CACNA2D1"
Endocrine and other factor-regulated calcium reabsorption,53,2,0.11736132388640508,1,"ADCY9,PLCB1"
IgSF CAM signaling,296,6,0.11767785267745003,1,"CTNNB1,NLGN1,GRIP1,PAK2,CASK,TJP2"
Taste transduction,85,2,0.1196145781022962,1,"PLCB1,GNAT3"
Renin secretion,69,2,0.13464066436399302,1,"CREB1,PLCB1"
Relaxin signaling pathway,129,3,0.14056940754894187,1,"ADCY9,COL3A1,CREB1,PLCB1"
Cholinergic synapse,114,3,0.14278684744987444,1,"ADCY9,CREB1,PLCB1"
