Description,N,DE,P.DE,FDR,SigGenesInSet
Staphylococcus aureus infection,93,4,4.305732915477601e-4,0.1171869197325101,"HLA-DQB2,HLA-DRB1,ITGB2,KRT38"
Cornified envelope formation,213,6,6.300372028629575e-4,0.1171869197325101,"COL4A3,LCE3C,PADI6,PCSK6,S100A14,KRT38"
Rheumatoid arthritis,91,4,0.0017232568660317043,0.21368385138793133,"HLA-DQB2,HLA-DRB1,ITGB2,TEK"
Autoimmune thyroid disease,51,3,0.0035900332027143044,0.3338730878524303,"HLA-DQB2,HLA-DRB1,TG"
Insulin signaling pathway,139,5,0.007129617431469545,0.5304435369013342,"HK2,PRKCZ,RPTOR,PTPN1,SOS1"
Asthma,29,2,0.011210208919460922,0.6165127747533837,"HLA-DQB2,HLA-DRB1"
Leishmaniasis,75,3,0.011601046836757221,0.6165127747533837,"HLA-DQB2,HLA-DRB1,ITGB2"
Starch and sucrose metabolism,35,2,0.018111424605558875,0.7322398942173606,"GAA,HK2"
Galactose metabolism,31,2,0.020011792773002374,0.7322398942173606,"GAA,HK2"
Chemical carcinogenesis - receptor activation,216,5,0.020341836867885564,0.7322398942173606,"GNAI2,KPNA4,MGST1,RPS6KA2,SOS1"
Allograft rejection,36,2,0.026267312321481048,0.7322398942173606,"HLA-DQB2,HLA-DRB1"
Intestinal immune network for IgA production,46,2,0.027047983099454723,0.7322398942173606,"HLA-DQB2,HLA-DRB1"
Graft-versus-host disease,39,2,0.027216871895581425,0.7322398942173606,"HLA-DQB2,HLA-DRB1"
Viral myocarditis,67,3,0.027557415373771633,0.7322398942173606,"HLA-DQB2,HLA-DRB1,ITGB2"
Relaxin signaling pathway,129,4,0.03074833428460435,0.7625586902581879,"COL4A3,GNAI2,PRKCZ,SOS1"
Shigellosis,244,5,0.03914576230807957,0.8465811899455116,"DOCK1,FNBP1,HK2,RPTOR,CAPN2"
Progesterone-mediated oocyte maturation,98,3,0.043497257983652136,0.8465811899455116,"GNAI2,RPS6KA2,MAD1L1"
mTOR signaling pathway,155,4,0.043662311380227456,0.8465811899455116,"RPTOR,RPS6KA2,SOS1,SLC7A5"
Type I diabetes mellitus,42,2,0.04449286461424802,0.8465811899455116,"HLA-DQB2,HLA-DRB1"
Carbohydrate digestion and absorption,46,2,0.0476189691519939,0.8465811899455116,"HK2,SLC2A5"
Thermogenesis,219,4,0.05109062822035545,0.8465811899455116,"RPTOR,RPS6KA2,SOS1,DPF3"
Natural killer cell mediated cytotoxicity,125,3,0.05519834922319307,0.8465811899455116,"MICA,ITGB2,SOS1"
Pertussis,77,2,0.0558537176548336,0.8465811899455116,"GNAI2,ITGB2"
"Neomycin, kanamycin and gentamicin biosynthesis",5,1,0.05729315355771693,0.8465811899455116,HK2
Regulation of actin cytoskeleton,230,5,0.06322675970129349,0.8465811899455116,"DOCK1,CYFIP2,ITGB2,MYH9,SOS1"
Focal adhesion,201,5,0.06481408594979327,0.8465811899455116,"COL4A3,COL6A3,DOCK1,SOS1,CAPN2"
Chemokine signaling pathway,192,4,0.06538076892854668,0.8465811899455116,"CCR6,GNAI2,PRKCZ,SOS1"
Insulin resistance,108,3,0.06659545021713117,0.8465811899455116,"PRKCZ,PTPN1,RPS6KA2"
Toxoplasmosis,110,3,0.06755279253252301,0.8465811899455116,"GNAI2,HLA-DQB2,HLA-DRB1"
Inflammatory bowel disease,64,2,0.06943203329273831,0.8465811899455116,"HLA-DQB2,HLA-DRB1"
Primary bile acid biosynthesis,17,1,0.07054843249545929,0.8465811899455116,CYP7B1
Phagocytosis,251,4,0.07999711998041373,0.9175141730957735,"HLA-DQB2,HLA-DRB1,ITGB2,DYNLL1"
Systemic lupus erythematosus,122,2,0.08281336897350479,0.9175141730957735,"HLA-DQB2,HLA-DRB1"
Antigen processing and presentation,71,2,0.08385882227219435,0.9175141730957735,"HLA-DQB2,HLA-DRB1"
Type II diabetes mellitus,46,2,0.08680576892342189,0.9226213154146554,"HK2,PRKCZ"
Hematopoietic cell lineage,93,2,0.10763668163097581,1,"HLA-DQB2,HLA-DRB1"
Tuberculosis,178,3,0.10909603892429554,1,"HLA-DQB2,HLA-DRB1,ITGB2"
Human T-cell leukemia virus 1 infection,220,4,0.11600126066745785,1,"HLA-DQB2,HLA-DRB1,ITGB2,MAD1L1"
Estrogen signaling pathway,137,3,0.11780711701424369,1,"GNAI2,SOS1,KRT38"
Nucleocytoplasmic transport,107,2,0.12225989666489145,1,"KPNA4,NUP88"
Chemical carcinogenesis - reactive oxygen species,211,3,0.12231185365711217,1,"MGST1,PTPN1,SOS1"
Thiamine metabolism,15,1,0.12243349527326292,1,AK8
RNA polymerase,34,1,0.14146376696236843,1,CRCP
Cell adhesion molecule (CAM) interaction,155,3,0.14322152474308508,1,"HLA-DQB2,HLA-DRB1,ITGB2"
Central carbon metabolism in cancer,70,2,0.14372682251165733,1,"HK2,SLC7A5"
Vitamin digestion and absorption,26,1,0.14786552152843913,1,SLC19A1
Rap1 signaling pathway,210,4,0.15508868500020107,1,"GNAI2,ITGB2,PRKCZ,TEK"
Virion - Lassa virus and SFTS virus,17,1,0.16411814199903577,1,MYH9
