ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
BP,interkinetic nuclear migration,5,2,0.0010534486592357266,1,"PCM1,DOCK7"
BP,ureteric bud formation,7,2,0.0014300141405701322,1,"GREM1,HS2ST1"
BP,proximal/distal pattern formation,34,3,0.002480644973738174,1,"GREM1,TP63,ALDH1A2"
CC,cerebellar Golgi cell to granule cell synapse,1,1,0.00278554318110648,1,GABRA6
BP,mesonephric tubule formation,10,2,0.003136792941000897,1,"GREM1,HS2ST1"
MF,protein-glucosylgalactosylhydroxylysine glucosidase activity,1,1,0.003650293729352184,1,PGGHG
MF,guanylate kinase activity,9,2,0.004573640178744003,1,"DLG2,TJP2"
BP,protein activation cascade,19,2,0.00525344663419578,1,"F13B,PRCP"
MF,interleukin-22 receptor binding,2,1,0.005487407863236614,1,IL22
MF,glyceryl-ether monooxygenase activity,1,1,0.0057743440791155,1,AGMO
BP,GDP metabolic process,11,2,0.0058633102178648365,1,"DLG2,TJP2"
MF,CoA hydrolase activity,24,2,0.00650871437316994,1,"HIBCH,THEM5"
BP,negative regulation of intracellular estrogen receptor signaling pathway,15,2,0.0074393660999976345,1,"STRN3,TP63"
MF,2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity,1,1,0.007505591565347796,1,UGT8
MF,N-acylsphingosine galactosyltransferase activity,1,1,0.007505591565347796,1,UGT8
BP,response to fatty acid,56,3,0.007868370406345368,1,"PLCB1,PID1,TBXAS1"
BP,hydrogen peroxide transmembrane transport,2,1,0.008920276876404289,1,AQP11
MF,intracellular cAMP-activated cation channel activity involved in regulation of presynaptic membrane potential,1,1,0.009212271331266786,1,HCN1
BP,ribonucleoside monophosphate metabolic process,59,3,0.009286807342714882,1,"UPP2,DLG2,TJP2"
MF,alkylglycerophosphoethanolamine phosphodiesterase activity,1,1,0.009920797000150175,1,ENPP2
BP,regulation of bone trabecula formation,2,1,0.009978484786584942,1,GREM1
BP,negative regulation of bone trabecula formation,2,1,0.009978484786584942,1,GREM1
BP,nephron tubule formation,20,2,0.0104467278480338,1,"GREM1,HS2ST1"
MF,3-hydroxyisobutyryl-CoA hydrolase activity,1,1,0.01045201261039029,1,HIBCH
CC,acrosomal vesicle,144,4,0.010739342359835712,1,"GOLGA1,SEPTIN14,PRKG1,SPATA16"
MF,heparan sulfate 2-O-sulfotransferase activity,1,1,0.010794297123690566,1,HS2ST1
MF,sterol sensor activity,1,1,0.0110873601703489,1,SLC38A9
MF,lipid sensor activity,1,1,0.0110873601703489,1,SLC38A9
BP,kidney epithelium development,150,5,0.011961819857459083,1,"KLHL3,GREM1,AQP11,ROBO2,HS2ST1"
BP,retinoic acid receptor signaling pathway involved in somitogenesis,1,1,0.012083875506554976,1,ALDH1A2
MF,WW domain binding,22,2,0.012385026252070684,1,"NDFIP2,TP63"
BP,nephron tubule development,100,4,0.012464891656542096,1,"KLHL3,GREM1,AQP11,HS2ST1"
CC,G protein-coupled receptor homodimeric complex,1,1,0.012593254702616342,1,GRM1
MF,G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration,1,1,0.012593254702616342,1,GRM1
BP,negative regulation of mononuclear cell migration,25,2,0.0126374590914438,1,"PLCB1,GREM1"
BP,ectoderm and mesoderm interaction,1,1,0.013429741966948827,1,TP63
CC,apical distal dendrite,1,1,0.013522056666829936,1,MAP2
CC,pericentriolar material,22,2,0.013655888805154767,1,"PCM1,TNKS2"
BP,purine nucleoside diphosphate metabolic process,20,2,0.013693290777649084,1,"DLG2,TJP2"
BP,purine ribonucleoside diphosphate metabolic process,20,2,0.013693290777649084,1,"DLG2,TJP2"
BP,molybdenum incorporation into molybdenum-molybdopterin complex,1,1,0.01369776447484164,1,GPHN
BP,metal incorporation into metallo-molybdopterin complex,1,1,0.01369776447484164,1,GPHN
MF,molybdopterin adenylyltransferase activity,1,1,0.01369776447484164,1,GPHN
MF,molybdopterin molybdotransferase activity,1,1,0.01369776447484164,1,GPHN
BP,glycine receptor clustering,1,1,0.01369776447484164,1,GPHN
BP,CD24 biosynthetic process,1,1,0.013994909516988329,1,PLCB1
BP,response to glyceraldehyde,1,1,0.013994909516988329,1,PLCB1
BP,cellular response to glyceraldehyde,1,1,0.013994909516988329,1,PLCB1
BP,regulation of CD24 production,1,1,0.013994909516988329,1,PLCB1
BP,positive regulation of CD24 production,1,1,0.013994909516988329,1,PLCB1
CC,type III intermediate filament,3,1,0.014227104941927656,1,UPP2
BP,positive regulation of angiotensin-activated signaling pathway,1,1,0.01436868713844897,1,PRKCA
BP,regulation of histone H4 acetylation,1,1,0.014403711031152637,1,AUTS2
BP,positive regulation of histone H4 acetylation,1,1,0.014403711031152637,1,AUTS2
BP,positive regulation of histone H4-K16 acetylation,1,1,0.014403711031152637,1,AUTS2
CC,dense core granule lumen,2,1,0.014827651537942977,1,VPS13A
CC,neuronal dense core vesicle lumen,2,1,0.014827651537942977,1,VPS13A
BP,renal tubule development,104,4,0.014905670527196085,1,"KLHL3,GREM1,AQP11,HS2ST1"
CC,primary dendrite,2,1,0.016161368444970885,1,MAP2
BP,kinin cascade,3,1,0.016280398382586492,1,PRCP
BP,plasma kallikrein-kinin cascade,3,1,0.016280398382586492,1,PRCP
BP,negative regulation of monocyte extravasation,2,1,0.016290307872607494,1,PLCB1
MF,olfactory receptor activity,373,4,0.016343750018816286,1,"OR8J1,OR4S1,OR52N2,OR8J3"
BP,activation of meiosis involved in egg activation,2,1,0.016654379696467627,1,PLCB1
MF,nucleoside monophosphate kinase activity,20,2,0.016799285493528368,1,"DLG2,TJP2"
BP,retrograde axonal protein transport,2,1,0.017024256186721744,1,DLG2
MF,glycerol channel activity,5,1,0.017199940512241708,1,AQP11
MF,thromboxane-A synthase activity,2,1,0.01740886770438298,1,TBXAS1
BP,detection of chemical stimulus involved in sensory perception of smell,375,4,0.017878027669120732,1,"OR8J1,OR4S1,OR52N2,OR8J3"
BP,negative regulation of inositol phosphate biosynthetic process,2,1,0.018042136705670547,1,PRKG1
BP,positive regulation of signaling receptor activity,31,2,0.018164519689358147,1,"GREM1,FBXW7"
BP,nucleoside monophosphate metabolic process,76,3,0.018262885634750745,1,"UPP2,DLG2,TJP2"
BP,negative regulation of monocyte activation,3,1,0.01829079138354702,1,FN1
BP,negative regulation of osteoclast proliferation,2,1,0.01847381670172951,1,GREM1
MF,cGMP-dependent protein kinase activity,2,1,0.018515680016823438,1,PRKG1
BP,negative regulation of mesoderm development,3,1,0.018695104817400516,1,TP63
BP,GMP metabolic process,27,2,0.01916030431467962,1,"DLG2,TJP2"
CC,mast cell granule,3,1,0.019294656213299146,1,CLNK
MF,uridine phosphorylase activity,2,1,0.019439155595735308,1,UPP2
BP,uridine catabolic process,2,1,0.019439155595735308,1,UPP2
BP,uridine metabolic process,2,1,0.019439155595735308,1,UPP2
MF,deoxyuridine phosphorylase activity,2,1,0.019439155595735308,1,UPP2
BP,protein-containing complex localization to centriolar satellite,2,1,0.019494677328365524,1,PCM1
BP,positive regulation of somatic stem cell population maintenance,2,1,0.019794028253758277,1,TP63
BP,positive regulation of dense core granule biogenesis,2,1,0.019889496037260854,1,PRKCA
BP,epidermal cell division,3,1,0.019897668993335317,1,TP63
BP,regulation of epidermal cell division,3,1,0.019897668993335317,1,TP63
MF,12-hydroxyheptadecatrienoic acid synthase activity,3,1,0.0200383435241926,1,TBXAS1
BP,physiological muscle hypertrophy,30,2,0.020142776071037625,1,"PRKG1,AKAP6"
BP,physiological cardiac muscle hypertrophy,30,2,0.020142776071037625,1,"PRKG1,AKAP6"
BP,cell growth involved in cardiac muscle cell development,30,2,0.020142776071037625,1,"PRKG1,AKAP6"
CC,RSF complex,2,1,0.02019885315925248,1,RSF1
MF,histone octamer slider activity,2,1,0.02019885315925248,1,RSF1
CC,distal dendrite,2,1,0.02030968410257699,1,MAP2
BP,cloacal septation,2,1,0.020701768273669242,1,TP63
BP,female genitalia morphogenesis,3,1,0.021264899273269643,1,TP63
BP,negative regulation of SREBP signaling pathway,3,1,0.021274441414737003,1,FBXW7
BP,establishment of synaptic specificity at neuromuscular junction,2,1,0.02157836745817091,1,GPHN
CC,THO complex,6,1,0.02167941934296005,1,THOC2
CC,THO complex part of transcription export complex,6,1,0.02167941934296005,1,THOC2
BP,sperm mitochondrion organization,4,1,0.022023387298387834,1,VPS13A
BP,nephron epithelium development,120,4,0.022249295667448064,1,"KLHL3,GREM1,AQP11,HS2ST1"
CC,cell division site,72,3,0.02242227528500055,1,"TUBGCP5,ANKRD45,SEPTIN14"
MF,thiolester hydrolase activity,40,2,0.022835703683096367,1,"HIBCH,THEM5"
BP,cellular response to fatty acid,34,2,0.023202155965346687,1,"PLCB1,PID1"
BP,developmental cell growth,239,6,0.02320373510203852,1,"DCC,FN1,AUTS2,MAP2,PRKG1,AKAP6"
BP,ribonucleoside diphosphate metabolic process,30,2,0.023407827438610047,1,"DLG2,TJP2"
BP,bile acid biosynthetic process,37,2,0.02349236502109446,1,"OSBPL9,MALRD1"
CC,Ski complex,3,1,0.023673508788616487,1,SKIC3
BP,"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay",3,1,0.023673508788616487,1,SKIC3
BP,regulation of platelet aggregation,27,2,0.02371006371348707,1,"PRKCA,PRKG1"
BP,neuron migration,176,5,0.023908644499230698,1,"DCC,AUTS2,SEPTIN14,PCM1,PRKG1"
BP,positive regulation of peptidyl-tyrosine autophosphorylation,3,1,0.02391810941579195,1,GREM1
BP,acute inflammatory response,106,3,0.023973831235946756,1,"FN1,IL22,PRCP"
BP,"regulation of substrate-dependent cell migration, cell attachment to substrate",2,1,0.024063266016478884,1,FN1
BP,"positive regulation of substrate-dependent cell migration, cell attachment to substrate",2,1,0.024063266016478884,1,FN1
MF,mannose-ethanolamine phosphotransferase activity,4,1,0.024083211632402558,1,PIGN
BP,negative regulation of microtubule binding,2,1,0.024240700832875176,1,MAP2
BP,dense core granule biogenesis,3,1,0.02464939679668254,1,PRKCA
BP,regulation of dense core granule biogenesis,3,1,0.02464939679668254,1,PRKCA
BP,positive regulation of cardiac muscle hypertrophy,35,2,0.024972172704785234,1,"PRKCA,AKAP6"
BP,regulation of viral translation,3,1,0.02503749101434894,1,ATG12
BP,positive regulation of viral translation,3,1,0.02503749101434894,1,ATG12
BP,positive regulation of synaptic vesicle transport,2,1,0.02507157705125329,1,MAP2
BP,regulation of anterograde synaptic vesicle transport,2,1,0.02507157705125329,1,MAP2
BP,positive regulation of anterograde synaptic vesicle transport,2,1,0.02507157705125329,1,MAP2
