Description,N,DE,P.DE,FDR,SigGenesInSet
Sulfur cycle,2,1,0.018863458742544945,1,PAPSS2
Circadian rhythm,34,2,0.03581630309275485,1,"CREB1,NPAS2"
Pancreatic cancer,76,3,0.03740437102116421,1,"CDK6,EGF,SMAD4,RB1"
Mucin type O-glycan biosynthesis,36,2,0.04438452356561664,1,"B3GNT3,GALNTL6"
Olfactory transduction,407,4,0.04702437936596149,1,"GRK3,OR8U1,OR5AR1,OR2B3,OR8U8"
Various types of N-glycan biosynthesis,44,2,0.0506867143920331,1,"HEXB,ALG13"
Sulfur metabolism,10,1,0.0572486484582753,1,PAPSS2
GABAergic synapse,89,3,0.06314576113091126,1,"GPHN,GNB5,GABRA6"
Cushing syndrome,155,4,0.06508605833217658,1,"CDK6,CREB1,PLCB1,RB1,ASH2L"
Morphine addiction,91,3,0.07811847891204346,1,"GNB5,GRK3,GABRA6"
Hormone signaling,217,4,0.07910359296628938,1,"GNB5,DIO2,PLCB1,HEPHL1,SMAD4"
Motor proteins,194,4,0.08214133493339516,1,"MYO16,MYO1E,DNAI4,CAPZA2"
Circadian entrainment,97,3,0.08751591243800899,1,"GNB5,CREB1,PLCB1"
Primary bile acid biosynthesis,17,1,0.0884828330399844,1,HSD17B4
Taurine and hypotaurine metabolism,16,1,0.10062240961383091,1,FMO2
Glycosphingolipid biosynthesis - globo and isoglobo series,16,1,0.1058522558416668,1,HEXB
Taste transduction,85,2,0.11151582144795821,1,"PLCB1,GABRA6"
Cell cycle,158,3,0.11865311955114424,1,"CDK6,SMAD4,RB1,TFDP2"
Selenocompound metabolism,17,1,0.11931495846867446,1,PAPSS2
Renin secretion,69,2,0.12067160184688185,1,"CREB1,PLCB1"
Relaxin signaling pathway,129,3,0.12108794988657635,1,"GNB5,CREB1,PLCB1"
"Parathyroid hormone synthesis, secretion and action",115,3,0.12158576838573151,1,"CREB1,PLCB1,MMP16"
Cholinergic synapse,114,3,0.12201670035395665,1,"GNB5,CREB1,PLCB1"
Retrograde endocannabinoid signaling,141,3,0.12512400572010493,1,"GNB5,PLCB1,GABRA6"
Glutamatergic synapse,116,3,0.135162960161122,1,"GNB5,GRK3,PLCB1"
Spinocerebellar ataxia,142,3,0.13700452482333364,1,"PLCB1,ATG2B,PSMA1"
Human cytomegalovirus infection,226,4,0.1370857752871507,1,"CDK6,GNB5,CREB1,PLCB1,RB1"
Apelin signaling pathway,139,3,0.13760667530331516,1,"GNB5,PLCB1,SMAD4"
Other glycan degradation,18,1,0.1402097427160022,1,HEXB
Melanoma,72,2,0.1420883711524118,1,"CDK6,EGF,RB1"
Dopaminergic synapse,131,3,0.14391223198741038,1,"GNB5,CREB1,PLCB1"
Folate biosynthesis,28,1,0.1471775042984203,1,GPHN
Cortisol synthesis and secretion,65,2,0.14729677854891293,1,"CREB1,PLCB1"
Glycosphingolipid biosynthesis - ganglio series,15,1,0.14822717053451165,1,HEXB
Thyroid hormone synthesis,75,2,0.15245778114080494,1,"CREB1,PLCB1"
Glycosaminoglycan degradation,19,1,0.15273815595860807,1,HEXB
Huntington disease,293,4,0.15768478167322258,1,"CREB1,PLCB1,ATG2B,PSMA1"
Nucleocytoplasmic transport,107,2,0.16588841351141956,1,"IPO11,THOC2"
Mannose type O-glycan biosynthesis,23,1,0.17253324850045976,1,FKTN
Chronic myeloid leukemia,76,2,0.17490009038729543,1,"CDK6,SMAD4,RB1"
Glycosphingolipid biosynthesis - lacto and neolacto series,28,1,0.17687808852193504,1,B3GNT3
Glioma,75,2,0.1788482011185223,1,"CDK6,EGF,RB1"
Protein export,31,1,0.17974108610019973,1,SPCS3
Porphyrin metabolism,46,1,0.18227620617746942,1,HEPHL1
Non-small cell lung cancer,72,2,0.18270953496811218,1,"CDK6,EGF,RB1"
Fatty acid elongation,28,1,0.1862476031413502,1,THEM5
Cytokine-cytokine receptor interaction,293,3,0.18855905525553363,1,"IL16,IL22,TNFSF15"
Folate transport and metabolism,30,1,0.19008857875838409,1,ABCG2
Colorectal cancer,86,2,0.19385243009935343,1,"EGF,SMAD4"
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,24,1,0.1949997864779677,1,HS2ST1
IgSF CAM signaling,296,5,0.19839888350333112,1,"EPB41L2,ANK3,LMO7,PMP2,TJP2"
Biosynthesis of unsaturated fatty acids,27,1,0.20445092248866842,1,HSD17B4
African trypanosomiasis,36,1,0.20845111236495334,1,PLCB1
Chemokine signaling pathway,192,3,0.2113544390299229,1,"GNB5,GRK3,PLCB1"
Antifolate resistance,30,1,0.21150478274812304,1,ABCG2
Spliceosome,150,2,0.21394467046891225,1,"THOC2,DDX46"
Kaposi sarcoma-associated herpesvirus infection,194,3,0.2149593327030555,1,"CDK6,GNB5,CREB1,RB1"
Gap junction,89,2,0.21770410048742703,1,"EGF,PLCB1,HTR2C"
Insulin secretion,86,2,0.2200497130782274,1,"CREB1,PLCB1"
Glucagon signaling pathway,105,2,0.22218037727730588,1,"CREB1,PLCB1"
Autophagy - other,32,1,0.2269698850210576,1,ATG2B
AGE-RAGE signaling pathway in diabetic complications,100,2,0.23169297286056534,1,"PLCB1,SMAD4"
Amino sugar and nucleotide sugar metabolism,38,1,0.23810930549216683,1,HEXB
Proteasome,46,1,0.24017266683784347,1,PSMA1
Drug metabolism - cytochrome P450,71,1,0.2430103107154889,1,FMO2
Th17 cell differentiation,107,2,0.24826730437569242,1,"SMAD4,IL22"
Melanogenesis,101,2,0.24874068180342784,1,"CREB1,PLCB1"
Neuroactive ligand signaling,199,3,0.25127193500542216,1,"GNB5,PLCB1,GABRA6,HTR2C"
Adherens junction,93,2,0.25215739238013707,1,"LMO7,SMAD4"
Serotonergic synapse,113,2,0.2567074850302513,1,"GNB5,PLCB1,HTR2C"
Aldosterone synthesis and secretion,98,2,0.2729880941529169,1,"CREB1,PLCB1"
Prostate cancer,105,2,0.276734893560184,1,"CREB1,EGF,RB1"
Aminoacyl-tRNA biosynthesis,43,1,0.28278045558004267,1,DARS1
Lysosome biogenesis,248,3,0.2907971859241856,1,"DMXL1,DMXL2,HEXB"
Vasopressin-regulated water reabsorption,44,1,0.29861016743851354,1,CREB1
JAK-STAT signaling pathway,163,2,0.3065641221996833,1,"EGF,IL22"
Nicotine addiction,41,1,0.30843188544094025,1,GABRA6
FoxO signaling pathway,132,2,0.31215420911992714,1,"EGF,SMAD4"
Human T-cell leukemia virus 1 infection,220,3,0.3163290162695821,1,"CREB1,SMAD4,RB1,CRTC3"
Carbohydrate digestion and absorption,46,1,0.3167581987478528,1,PLCB1
AMPK signaling pathway,120,2,0.32562033865278256,1,"CREB1,CAB39L"
Hepatitis C,155,2,0.32679593724055095,1,"CDK6,EGF,RB1"
Bladder cancer,41,1,0.3293665797032814,1,"EGF,RB1"
Alcoholism,174,2,0.3333107447822042,1,"GNB5,CREB1"
MicroRNAs in cancer,318,3,0.3351105584595948,1,"CDK6,ZFPM2,MMP16"
N-Glycan biosynthesis,55,1,0.3369428817015856,1,ALG13
Vibrio cholerae infection,50,1,0.3386290741794784,1,TJP2
Pathways in cancer,530,6,0.34071331565782725,1,"LPAR6,CDK6,GNB5,EGF,PLCB1,SMAD4,RB1"
ABC transporters,45,1,0.34191842136013195,1,ABCG2
Estrogen signaling pathway,137,2,0.3479851284082352,1,"CREB1,PLCB1"
Mineral absorption,60,1,0.3480820374116512,1,HEPHL1
"Growth hormone synthesis, secretion and action",121,2,0.34844585127361305,1,"CREB1,PLCB1"
Sphingolipid metabolism,55,1,0.35211008137390315,1,HEXB
Rap1 signaling pathway,210,3,0.3544513383480189,1,"EGF,PLCB1,MAGI3"
Thyroid hormone signaling pathway,121,2,0.3607752485027409,1,"DIO2,PLCB1,PLN"
Other types of O-glycan biosynthesis,49,1,0.36594474314368924,1,GALNTL6
Cocaine addiction,49,1,0.3745077989665374,1,CREB1
Hepatitis B,162,2,0.3780366478880902,1,"CREB1,SMAD4,RB1"
Fatty acid metabolism,56,1,0.3820154115229134,1,HSD17B4
Inflammatory bowel disease,64,1,0.38378005097682727,1,IL22
Breast cancer,147,2,0.3915278951810912,1,"CDK6,EGF,RB1"
PI3K-Akt signaling pathway,357,4,0.39853778118433714,1,"LPAR6,CDK6,GNB5,CREB1,EGF"
Gastric cancer,149,2,0.40405907079135406,1,"EGF,SMAD4,RB1"
Endocytosis,249,3,0.4052696520502316,1,"GRK3,RAB11FIP2,CAPZA2"
Peroxisome,83,1,0.40907529615111715,1,HSD17B4
Antigen processing and presentation,71,1,0.4139168283697946,1,CREB1
Glycerolipid metabolism,64,1,0.41607030959115116,1,TMEM68
Metabolic pathways,1558,12,0.42130832485537106,1,"GPHN,B3GNT3,FKTN,PLCB1,FMO2,THEM5,SETD2,HEXB,HSD17B4,GALNTL6,ALG13,PAPSS2"
Endocrine and other factor-regulated calcium reabsorption,53,1,0.4230234396134233,1,PLCB1
Calcium signaling pathway,252,3,0.43255164162225707,1,"EGF,PLCB1,HTR2C,PLN"
Lysine degradation,63,1,0.43669575783405196,1,SETD2
Adrenergic signaling in cardiomyocytes,152,2,0.4421248989649815,1,"CREB1,PLCB1,PLN"
Hepatocellular carcinoma,169,2,0.45892312465247115,1,"CDK6,SMAD4,RB1"
p53 signaling pathway,75,1,0.46012877619399717,1,CDK6
cGMP-PKG signaling pathway,165,2,0.46280833505310665,1,"CREB1,PLCB1,PLN"
Hedgehog signaling pathway,56,1,0.46441590922876963,1,GRK3
Phospholipase D signaling pathway,147,2,0.4669846401795552,1,"LPAR6,EGF,PLCB1"
Endometrial cancer,58,1,0.4676470296020695,1,EGF
Long-term depression,60,1,0.46811930146309094,1,PLCB1
Viral carcinogenesis,193,2,0.4777508693946903,1,"CDK6,CREB1,RB1"
Amphetamine addiction,69,1,0.4805076234349729,1,CREB1
Bile secretion,89,1,0.4845433117607841,1,ABCG2
GnRH secretion,64,1,0.4951002667006766,1,PLCB1
Long-term potentiation,67,1,0.5024848201320089,1,PLCB1
Chemical carcinogenesis - receptor activation,216,2,0.5049818172430055,1,"CREB1,EGF,RB1"
Prion disease,259,2,0.5095804719003618,1,"CREB1,PSMA1"
