Description,N,DE,P.DE,FDR,SigGenesInSet
Cornified envelope formation,213,4,0.014600064981198504,1,"CDSN,CYP4F22,KRT1,PPP2R1A,S100A14"
Autoimmune thyroid disease,51,2,0.026337441494252017,1,"HLA-DQA1,TPO"
Various types of N-glycan biosynthesis,44,2,0.02843143452897176,1,"HEXD,MAN2A1"
Type I diabetes mellitus,42,2,0.029199956763762747,1,"HLA-DQA1,PTPRN2"
Ubiquinone and other terpenoid-quinone biosynthesis,12,1,0.04430737352023828,1,COQ3
Lipoic acid metabolism,19,1,0.08033991000049329,1,BCKDHA
Efferocytosis,155,3,0.09352005405587914,1,"CX3CR1,DOCK1,ATP11A"
Other glycan degradation,18,1,0.09847236660325699,1,HEXD
Cadherin signaling,403,5,0.10931457854284223,1,"CDH4,CTNNA2,CYFIP2,KRT1,TMC7"
Bacterial invasion of epithelial cells,77,2,0.11703318057678293,1,"CTNNA2,DOCK1"
Fatty acid biosynthesis,17,1,0.12651073132670143,1,ACSBG1
Collecting duct acid secretion,27,1,0.12750860667066538,1,ATP4B
Asthma,29,1,0.13033509689886055,1,HLA-DQA1
Virion - Lassa virus and SFTS virus,17,1,0.1308576564968317,1,MYH9
2-Oxocarboxylic acid metabolism,33,1,0.13745237971071708,1,BCKDHA
Fatty acid elongation,28,1,0.14156838756071538,1,ACOT1
TGF-beta signaling pathway,110,2,0.14454561710833017,1,"PPP2R1A,THSD4"
Tyrosine metabolism,36,1,0.14598133018319495,1,TPO
Biosynthesis of unsaturated fatty acids,27,1,0.15676591252432712,1,ACOT1
Natural killer cell mediated cytotoxicity,125,2,0.15707275336152604,1,"MICB,NCR2"
Biosynthesis of cofactors,154,2,0.15846728087930825,1,"COQ3,NADK"
Nicotinate and nicotinamide metabolism,37,1,0.162317999572743,1,NADK
Propanoate metabolism,32,1,0.17184063552703113,1,BCKDHA
Fatty acid degradation,43,1,0.18146748718472377,1,ACSBG1
