Description,N,DE,P.DE,FDR,SigGenesInSet
Cortisol synthesis and secretion,65,4,0.006944539092598775,1,"ADCY9,CYP11A1,PDE8A,CACNA1D"
GABAergic synapse,89,4,0.01823190839511499,1,"ADCY9,PRKCA,CACNA1D,SLC38A1"
Cushing syndrome,155,5,0.024847799783007288,1,"ADCY9,CYP11A1,PDE8A,TCF7L2,CACNA1D"
African trypanosomiasis,36,2,0.02670562899195002,1,"IDO1,PRKCA"
Aldosterone synthesis and secretion,98,4,0.02713324045332942,1,"ADCY9,CYP11A1,PRKCA,CACNA1D"
Purine metabolism,127,4,0.02812882913192582,1,"ADCY9,GMPR,PDE6A,PDE8A"
Fructose and mannose metabolism,36,2,0.031220741242238132,1,"HK1,SORD"
Bile secretion,89,3,0.03271168119700246,1,"ADCY9,SLC4A5,NR0B2"
Phosphonate and phosphinate metabolism,6,1,0.039784288030157426,1,PCYT1A
Vascular smooth muscle contraction,134,4,0.04183280275322177,1,"ADCY9,PRKCA,PRKCH,CACNA1D"
Mucin type O-glycan biosynthesis,36,2,0.051814425613075504,1,"GCNT1,GALNT7"
Glutamatergic synapse,116,4,0.05226863883617054,1,"ADCY9,PRKCA,CACNA1D,SLC38A1"
Pancreatic secretion,101,3,0.05874939251305143,1,"ADCY9,ATP2A3,PRKCA"
Carbohydrate digestion and absorption,46,2,0.05912994012005632,1,"HK1,CACNA1D"
"Neomycin, kanamycin and gentamicin biosynthesis",5,1,0.062120066390216916,1,HK1
Vibrio cholerae infection,50,2,0.0701500713488755,1,"ADCY9,PRKCA"
Amoebiasis,100,3,0.07056937796612997,1,"LAMB3,PRKCA,VCL"
Insulin secretion,86,3,0.07323637890620677,1,"ADCY9,PRKCA,CACNA1D"
GnRH signaling pathway,93,3,0.07745997190762771,1,"ADCY9,PRKCA,CACNA1D"
Ovarian steroidogenesis,52,2,0.08241556815728494,1,"ADCY9,CYP11A1"
Adrenergic signaling in cardiomyocytes,152,4,0.08260625681332635,1,"ADCY9,ATP2A3,PRKCA,CACNA1D"
Melanogenesis,101,3,0.08734849277445017,1,"ADCY9,PRKCA,TCF7L2"
Arrhythmogenic right ventricular cardiomyopathy,86,3,0.08865551938753571,1,"ATP2A3,TCF7L2,CACNA1D"
Serotonergic synapse,113,3,0.08928809980265746,1,"HTR4,PRKCA,CACNA1D"
Adherens junction,93,3,0.09051069689008923,1,"CTNND1,PTPRJ,TCF7L2,VCL"
Choline metabolism in cancer,98,3,0.09353555710801911,1,"PCYT1A,PRKCA,RALGDS"
Inflammatory mediator regulation of TRP channels,98,3,0.10022813047581597,1,"ADCY9,PRKCA,PRKCH"
Type II diabetes mellitus,46,2,0.10120332586740755,1,"HK1,CACNA1D"
Morphine addiction,91,3,0.10178027234231524,1,"ADCY9,PDE8A,PRKCA"
Circadian entrainment,97,3,0.11100753500166455,1,"ADCY9,PRKCA,CACNA1D"
Lipoic acid metabolism,19,1,0.1136430300976704,1,OGDH
Dilated cardiomyopathy,104,3,0.11458516576707417,1,"ADCY9,ATP2A3,CACNA1D"
Endocrine and other factor-regulated calcium reabsorption,53,2,0.11953468311965884,1,"ADCY9,PRKCA"
Calcium signaling pathway,252,5,0.12117309729772172,1,"ADCY9,HTR4,ATP2A3,PHKG2,PRKCA,CACNA1D"
Steroid biosynthesis,20,1,0.12288196433347776,1,NSDHL
Renin-angiotensin system,23,1,0.12405831400231229,1,ATP6AP2
Cardiac muscle contraction,83,2,0.14913514369246522,1,"ATP2A3,CACNA1D"
Retrograde endocannabinoid signaling,141,3,0.1494031288661235,1,"ADCY9,PRKCA,CACNA1D"
"Parathyroid hormone synthesis, secretion and action",115,3,0.15112659336332324,1,"AKAP13,ADCY9,PRKCA"
Cholinergic synapse,114,3,0.15167025087597436,1,"ADCY9,PRKCA,CACNA1D"
"Growth hormone synthesis, secretion and action",121,3,0.15276582126189375,1,"ADCY9,PRKCA,CACNA1D"
Amphetamine addiction,69,2,0.15543635073601922,1,"PRKCA,CACNA1D"
Pantothenate and CoA biosynthesis,21,1,0.163112400427724,1,COASY
Phototransduction,28,1,0.16555279073894258,1,PDE6A
Diabetic cardiomyopathy,189,3,0.16755509298843257,1,"PARP1,ATP2A3,PRKCA"
Pentose and glucuronate interconversions,37,1,0.1690755724869802,1,SORD
Metabolic pathways,1558,15,0.17019512727427444,1,"ADCY9,CYP11A1,GCNT1,GMPR,HK1,IDO1,OGDH,NSDHL,PCYT1A,PDE6A,PDE8A,GALNT7,SORD,COASY,AGPS"
GnRH secretion,64,2,0.17344641582481302,1,"PRKCA,CACNA1D"
Thyroid hormone synthesis,75,2,0.17477067460496717,1,"ADCY9,PRKCA"
cAMP signaling pathway,225,4,0.17688053607320373,1,"ADCY9,HTR4,ATP2A3,CACNA1D"
Citrate cycle (TCA cycle),30,1,0.18566419166278347,1,OGDH
2-Oxocarboxylic acid metabolism,33,1,0.1889644467075002,1,OGDH
Carbon metabolism,116,2,0.19512443072584373,1,"HK1,OGDH"
SNARE interactions in vesicular transport,32,1,0.19715200397063762,1,STX7
Salivary secretion,93,2,0.19757408759005357,1,"ADCY9,PRKCA"
NF-kappa B signaling pathway,104,2,0.20694801625455184,1,"PARP1,CARD11"
Gastric acid secretion,76,2,0.20791693691285726,1,"ADCY9,PRKCA"
Colorectal cancer,86,2,0.2148313094459316,1,"RALGDS,TCF7L2"
Starch and sucrose metabolism,35,1,0.21571815064912758,1,HK1
Galactose metabolism,31,1,0.22410043252515757,1,HK1
Base excision repair,44,1,0.22808898160959815,1,PARP1
Tryptophan metabolism,41,1,0.22858656667966926,1,IDO1
cGMP-PKG signaling pathway,165,3,0.23920095352621198,1,"ADCY9,ATP2A3,CACNA1D"
Oxytocin signaling pathway,154,3,0.24415093335228105,1,"ADCY9,PRKCA,CACNA1D"
Amino sugar and nucleotide sugar metabolism,38,1,0.24751815878393196,1,HK1
Phospholipase D signaling pathway,147,3,0.2485875179576469,1,"ADCY9,PRKCA,RALGDS"
Gap junction,89,2,0.25116734994885614,1,"ADCY9,PRKCA"
Biosynthesis of nucleotide sugars,37,1,0.2528500847392687,1,HK1
Chemical carcinogenesis - receptor activation,216,3,0.2605348819191849,1,"ADCY9,PRKCA,CACNA1D"
Steroid hormone biosynthesis,65,1,0.26072247019216627,1,CYP11A1
TNF signaling pathway,118,2,0.2614356185307489,1,"DAB2IP,CCL20"
Biosynthesis of cofactors,154,2,0.26192509511553946,1,"IDO1,COASY"
Leukocyte transendothelial migration,114,2,0.27091439474717754,1,"CTNND1,PRKCA,VCL"
Circadian rhythm,34,1,0.2723019400815466,1,BHLHE40
Hypertrophic cardiomyopathy,99,2,0.2817577170625913,1,"ATP2A3,CACNA1D"
Ferroptosis,41,1,0.282616893676519,1,MAP1LC3B2
Neuroactive ligand signaling,199,3,0.2842957762220264,1,"ADCY9,HTR4,PRKCA"
Cadherin signaling,403,5,0.2878688145674196,1,"CTNND1,CYFIP2,RERE,PCDH10,TCF7L2,VCL"
HIF-1 signaling pathway,109,2,0.28804147331643515,1,"HK1,PRKCA"
Phagocytosis,251,3,0.2954089053341461,1,"MAP1LC3B2,STX7,HVCN1"
Ether lipid metabolism,51,1,0.2963604215309,1,AGPS
Wnt signaling pathway,177,3,0.29928069415920777,1,"RNF43,PRKCA,TCF7L2"
Vasopressin-regulated water reabsorption,44,1,0.3114643043961637,1,ADCY9
Apoptosis,136,2,0.31322306329057004,1,"PARP1,DAB2IP"
Aldosterone-regulated sodium reabsorption,37,1,0.32373981911230465,1,PRKCA
Thyroid cancer,37,1,0.32802292848936804,1,TCF7L2
