Description,N,DE,P.DE,FDR,SigGenesInSet
T cell receptor signaling pathway,118,7,2.9209897529808813e-4,0.10866081881088879,"IL4,NCK1,PIK3R1,PPP2R3A,PPP2R5C,PPP3CC,PIK3R3"
Asthma,29,3,9.036107680102127e-4,0.16807160284989955,"IL4,IL13,EPX"
Th1 and Th2 cell differentiation,91,5,0.0024764136141477338,0.307075288154319,"IL4,IL13,PPP3CC,MAML3,RUNX3"
Fc epsilon RI signaling pathway,67,4,0.005748700118088161,0.5346291109821989,"IL4,IL13,PIK3R1,PIK3R3"
Carbohydrate digestion and absorption,46,3,0.008190849361598402,0.6093991925029212,"PIK3R1,CACNA1D,PIK3R3"
AMPK signaling pathway,120,5,0.010752829064046822,0.6666754019709029,"FBP1,PIK3R1,PPP2R3A,PPP2R5C,PIK3R3"
Type II diabetes mellitus,46,3,0.018980256783537763,0.9347217525576383,"PIK3R1,CACNA1D,PIK3R3"
VEGF signaling pathway,59,3,0.027241861874531127,0.9347217525576383,"PIK3R1,PPP3CC,PIK3R3"
JAK-STAT signaling pathway,163,4,0.03128408485071608,0.9347217525576383,"IL4,IL13,PIK3R1,PIK3R3"
mRNA surveillance pathway,95,3,0.035743493265480764,0.9347217525576383,"UPF2,PPP2R3A,PPP2R5C"
Endometrial cancer,58,3,0.03599650891173912,0.9347217525576383,"PIK3R1,AXIN1,PIK3R3"
Sphingolipid signaling pathway,123,4,0.042113966634370635,0.9347217525576383,"PIK3R1,PPP2R3A,PPP2R5C,PIK3R3"
Phosphonate and phosphinate metabolism,6,1,0.042971500104998644,0.9347217525576383,PCYT1A
GnRH secretion,64,3,0.04412080219467396,0.9347217525576383,"PIK3R1,CACNA1D,PIK3R3"
B cell receptor signaling pathway,82,3,0.048696317172167845,0.9347217525576383,"PIK3R1,PPP3CC,PIK3R3"
Signaling pathways regulating pluripotency of stem cells,142,4,0.05574610743465153,0.9347217525576383,"ZFHX3,PIK3R1,AXIN1,PIK3R3"
PD-L1 expression and PD-1 checkpoint pathway in cancer,89,3,0.05733477148985845,0.9347217525576383,"PIK3R1,PPP3CC,PIK3R3"
Human papillomavirus infection,330,7,0.05841754693270219,0.9347217525576383,"ATP6V0A2,PIK3R1,PPP2R3A,PPP2R5C,MAML3,AXIN1,PIK3R3"
Colorectal cancer,86,3,0.06363553353393345,0.9347217525576383,"PIK3R1,AXIN1,PIK3R3"
Aldosterone-regulated sodium reabsorption,37,2,0.06439738086259021,0.9347217525576383,"PIK3R1,PIK3R3"
Dopaminergic synapse,131,4,0.06457807419166942,0.9347217525576383,"PPP2R3A,PPP2R5C,PPP3CC,CACNA1D"
Progesterone-mediated oocyte maturation,98,3,0.06662307235953607,0.9347217525576383,"ANAPC11,PIK3R1,PIK3R3"
C-type lectin receptor signaling pathway,104,3,0.07581046143213263,0.9347217525576383,"PIK3R1,PPP3CC,PIK3R3"
Cellular senescence,155,4,0.0767012265722733,0.9347217525576383,"PIK3R1,PPP3CC,CACNA1D,PIK3R3"
Natural killer cell mediated cytotoxicity,125,3,0.07986708534301905,0.9347217525576383,"PIK3R1,PPP3CC,PIK3R3"
Longevity regulating pathway,89,3,0.08238948288599084,0.9347217525576383,"PIK3R1,PIK3R3,ATG13"
Alzheimer disease,372,6,0.08241333910580699,0.9347217525576383,"PIK3R1,PPP3CC,CACNA1D,AXIN1,PIK3R3,ATG13"
ErbB signaling pathway,84,3,0.09367950769737537,0.9347217525576383,"NCK1,PIK3R1,PIK3R3"
Viral life cycle - HIV-1,68,2,0.09394174182635898,0.9347217525576383,"SERINC5,BICD1"
Inflammatory bowel disease,64,2,0.09565464392525846,0.9347217525576383,"IL4,IL13"
Phosphatidylinositol signaling system,97,3,0.09573376616067028,0.9347217525576383,"PIK3R1,PIP4K2A,PIK3R3"
Oocyte meiosis,127,3,0.09631778567379894,0.9347217525576383,"ANAPC11,PPP2R5C,PPP3CC"
Insulin resistance,108,3,0.09765435439835873,0.9347217525576383,"PPARGC1B,PIK3R1,PIK3R3"
Non-homologous end-joining,13,1,0.10132620013030008,0.9347217525576383,POLM
Epstein-Barr virus infection,201,4,0.10350868382969393,0.9347217525576383,"PIK3R1,USP7,PIK3R3,RUNX3"
Regulation of actin cytoskeleton,230,5,0.10677654418902882,0.9347217525576383,"SPATA13,PIK3R1,PIP4K2A,PIK3R3,ARHGEF7"
Prion disease,259,4,0.10695061776721193,0.9347217525576383,"PIK3R1,PPP3CC,CACNA1D,PIK3R3"
Choline metabolism in cancer,98,3,0.1074737087928374,0.9347217525576383,"PCYT1A,PIK3R1,PIK3R3"
IL-17 signaling pathway,93,2,0.11791745949498225,0.9347217525576383,"IL4,IL13"
