ONTOLOGY,TERM,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
BP,establishment of meiotic spindle localization,6,3,50,4.2227802962888326e-5,0.47979229726433714,"MYH9,FMN2,SPIRE1"
BP,vacuolar sequestering,1,1,100,0.00862880000953077,1,GAA
BP,antisense RNA metabolic process,1,1,100,0.01268746385939213,1,EXOSC10
BP,nuclear polyadenylation-dependent antisense transcript catabolic process,1,1,100,0.01268746385939213,1,EXOSC10
BP,antisense RNA transcript catabolic process,1,1,100,0.01268746385939213,1,EXOSC10
CC,MHC protein complex,23,4,17.391304347826086,7.651187546307157e-5,0.5795519526742795,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5"
CC,lumenal side of endoplasmic reticulum membrane,27,4,14.814814814814813,1.315541853337256e-4,0.7403671963769689,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5"
CC,lumenal side of membrane,36,4,11.11111111111111,2.3823402267773595e-4,0.9022716552214788,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5"
CC,oligosaccharyltransferase III complex,1,1,100,0.00380806964814409,1,STT3A
CC,autolysosome lumen,1,1,100,0.00862880000953077,1,GAA
MF,peptide antigen binding,33,5,15.151515151515152,3.6449552178548534e-5,0.47979229726433714,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,SLC7A5"
MF,antigen binding,65,5,7.6923076923076925,1.6290424141369672e-4,0.7403671963769689,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,SLC7A5"
MF,L-asparagine:sodium symporter activity,1,1,100,0.00492789930838919,1,SLC38A7
MF,L-glutamine:sodium symporter activity,1,1,100,0.00492789930838919,1,SLC38A7
MF,25-hydroxycholesterol 7alpha-hydroxylase activity,1,1,100,0.00766822513510967,1,CYP7B1
