Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Type II diabetes mellitus,46,3,6.521739130434782,0.01004777301572476,0.4142358268890018,"PIK3R1,CACNA1A,CACNA1C"
Regulation of lipolysis in adipocytes,58,3,5.172413793103448,0.01290760549184231,0.4142358268890018,"PIK3R1,PRKG1,PTGS1"
Long-term depression,60,3,5,0.01961297680488319,0.4142358268890018,"GNAQ,PRKG1,CACNA1A"
Homologous recombination,41,2,4.878048780487805,0.03121902332395578,0.4142358268890018,"RAD51B,BABAM2"
GnRH secretion,64,3,4.6875,0.02384955946863043,0.4142358268890018,"GNAQ,PIK3R1,CACNA1C"
Gap junction,89,4,4.49438202247191,0.00830645891124804,0.4142358268890018,"TUBB3,TUBB,GNAQ,PRKG1"
Long-term potentiation,67,3,4.477611940298507,0.02478667559662809,0.4142358268890018,"GNAQ,PPP3CC,CACNA1C"
Renin secretion,69,3,4.3478260869565215,0.01764555108049185,0.4142358268890018,"GNAQ,PPP3CC,CACNA1C"
Glutamatergic synapse,116,5,4.310344827586207,0.00594071143818514,0.4142358268890018,"GNAQ,GRIK4,PPP3CC,CACNA1A,CACNA1C"
B cell receptor signaling pathway,82,3,3.6585365853658534,0.02978093630247368,0.4142358268890018,"PIK3R1,PPP3CC,CD81"
Cardiac muscle contraction,83,3,3.614457831325301,0.0214090159955129,0.4142358268890018,"HRC,SLC8A2,CACNA1C"
Serotonergic synapse,113,4,3.5398230088495577,0.01272691789647153,0.4142358268890018,"GNAQ,PTGS1,CACNA1A,CACNA1C"
Cholinergic synapse,114,4,3.508771929824561,0.02462939856354614,0.4142358268890018,"GNAQ,PIK3R1,CACNA1A,CACNA1C"
Bile secretion,89,3,3.3707865168539324,0.02316058192539305,0.4142358268890018,"CYP3A4,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A3,SLC4A5"
Natural killer cell mediated cytotoxicity,125,4,3.2,0.01101474873384422,0.4142358268890018,"PTK2B,MICB,PIK3R1,PPP3CC"
