Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Staphylococcus aureus infection,93,4,4.301075268817205,4.305732915477601e-4,0.1171869197325101,"HLA-DQB2,HLA-DRB1,ITGB2,KRT38"
Cornified envelope formation,213,6,2.8169014084507045,6.300372028629575e-4,0.1171869197325101,"COL4A3,LCE3C,PADI6,PCSK6,S100A14,KRT38"
Rheumatoid arthritis,91,4,4.395604395604396,0.0017232568660317,0.2136838513879313,"HLA-DQB2,HLA-DRB1,ITGB2,TEK"
Autoimmune thyroid disease,51,3,5.88235294117647,0.0035900332027143,0.3338730878524303,"HLA-DQB2,HLA-DRB1,TG"
Insulin signaling pathway,139,5,3.5971223021582732,0.00712961743146954,0.5304435369013342,"HK2,PRKCZ,RPTOR,PTPN1,SOS1"
Asthma,29,2,6.896551724137931,0.01121020891946092,0.6165127747533837,"HLA-DQB2,HLA-DRB1"
Leishmaniasis,75,3,4,0.01160104683675722,0.6165127747533837,"HLA-DQB2,HLA-DRB1,ITGB2"
Galactose metabolism,31,2,6.451612903225806,0.02001179277300237,0.7322398942173606,"GAA,HK2"
Starch and sucrose metabolism,35,2,5.714285714285714,0.01811142460555887,0.7322398942173606,"GAA,HK2"
Allograft rejection,36,2,5.555555555555555,0.02626731232148104,0.7322398942173606,"HLA-DQB2,HLA-DRB1"
Graft-versus-host disease,39,2,5.128205128205128,0.02721687189558142,0.7322398942173606,"HLA-DQB2,HLA-DRB1"
Viral myocarditis,67,3,4.477611940298507,0.02755741537377163,0.7322398942173606,"HLA-DQB2,HLA-DRB1,ITGB2"
Intestinal immune network for IgA production,46,2,4.3478260869565215,0.02704798309945472,0.7322398942173606,"HLA-DQB2,HLA-DRB1"
Chemical carcinogenesis - receptor activation,216,5,2.314814814814815,0.02034183686788556,0.7322398942173606,"GNAI2,KPNA4,MGST1,RPS6KA2,SOS1"
Relaxin signaling pathway,129,4,3.10077519379845,0.03074833428460435,0.7625586902581879,"COL4A3,GNAI2,PRKCZ,SOS1"
