Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Selenocompound metabolism,17,1,5.88235294117647,0.10225943105739808,1,SCLY
Mucin type O-glycan biosynthesis,36,2,5.555555555555555,0.04078561927684709,1,"ST6GALNAC1,GALNT16"
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,21,1,4.761904761904762,0.16985236183331062,1,CHSY3
GnRH secretion,64,3,4.6875,0.02889299944195298,1,"PRKCA,CACNA1D,GABBR2"
GABAergic synapse,89,4,4.49438202247191,0.01186261901521262,1,"ADCY9,PRKCA,CACNA1D,GABBR2"
Morphine addiction,91,4,4.395604395604396,0.01757821716566539,1,"ADCY9,PDE4B,PRKCA,GABBR2"
Mismatch repair,23,1,4.3478260869565215,0.11480662378437576,1,MLH1
Progesterone-mediated oocyte maturation,98,4,4.081632653061225,0.00722215161132792,1,"ADCY9,RPS6KA2,STK10,MAD1L1"
Vibrio cholerae infection,50,2,4,0.05442989909636938,1,"ADCY9,PRKCA"
EGFR tyrosine kinase inhibitor resistance,78,3,3.8461538461538463,0.05316756848031084,1,"BCL2L11,JAK1,PRKCA"
Endocrine and other factor-regulated calcium reabsorption,53,2,3.7735849056603774,0.09727130377986948,1,"ADCY9,PRKCA"
Hedgehog signaling pathway,56,2,3.571428571428571,0.11660688873991262,1,"GPR161,GLI2"
Colorectal cancer,86,3,3.488372093023256,0.03814478277134919,1,"BCL2L11,APC2,MLH1"
Insulin secretion,86,3,3.488372093023256,0.05386843311136933,1,"ADCY9,PRKCA,CACNA1D"
Endometrial cancer,58,2,3.4482758620689653,0.12046813056660167,1,"APC2,MLH1"
