Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
"Neomycin, kanamycin and gentamicin biosynthesis",5,1,20,0.06212006639021691,1,HK1
Phosphonate and phosphinate metabolism,6,1,16.666666666666664,0.03978428803015742,1,PCYT1A
Cortisol synthesis and secretion,65,4,6.153846153846154,0.00694453909259877,1,"ADCY9,CYP11A1,PDE8A,CACNA1D"
African trypanosomiasis,36,2,5.555555555555555,0.02670562899195002,1,"IDO1,PRKCA"
Fructose and mannose metabolism,36,2,5.555555555555555,0.03122074124223813,1,"HK1,SORD"
Mucin type O-glycan biosynthesis,36,2,5.555555555555555,0.0518144256130755,1,"GCNT1,GALNT7"
Lipoic acid metabolism,19,1,5.263157894736842,0.1136430300976704,1,OGDH
Steroid biosynthesis,20,1,5,0.12288196433347776,1,NSDHL
Pantothenate and CoA biosynthesis,21,1,4.761904761904762,0.163112400427724,1,COASY
GABAergic synapse,89,4,4.49438202247191,0.01823190839511499,1,"ADCY9,PRKCA,CACNA1D,SLC38A1"
Carbohydrate digestion and absorption,46,2,4.3478260869565215,0.05912994012005632,1,"HK1,CACNA1D"
Type II diabetes mellitus,46,2,4.3478260869565215,0.10120332586740756,1,"HK1,CACNA1D"
Renin-angiotensin system,23,1,4.3478260869565215,0.12405831400231228,1,ATP6AP2
Aldosterone synthesis and secretion,98,4,4.081632653061225,0.02713324045332942,1,"ADCY9,CYP11A1,PRKCA,CACNA1D"
Vibrio cholerae infection,50,2,4,0.0701500713488755,1,"ADCY9,PRKCA"
