Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Bladder cancer,41,3,7.317073170731707,0.00616156376359911,0.6288230625772341,"E2F3,EGFR,DAPK2"
Glioma,75,4,5.333333333333334,0.00693740507373453,0.6288230625772341,"E2F3,EGFR,IGF1R,CAMK2G"
HIF-1 signaling pathway,109,5,4.587155963302752,0.00226616243101812,0.6288230625772341,"EGFR,IGF1R,PFKP,CAMK2G,CUL2"
Progesterone-mediated oocyte maturation,98,4,4.081632653061225,0.00709988971345671,0.6288230625772341,"IGF1R,FZR1,RPS6KA2,MAD1L1"
Neuroactive ligand-receptor interaction,367,6,1.6348773841961852,0.0084519228841026,0.6288230625772341,"CHRM1,GRIK1,GRM4,HRH1,THRB,TRPV1"
Oocyte meiosis,127,4,3.149606299212598,0.01170308603232983,0.7255913340044499,"IGF1R,RPS6KA2,CAMK2G,MAD1L1"
Inflammatory mediator regulation of TRP channels,98,4,4.081632653061225,0.01773109244505457,0.904485884273104,"HRH1,PRKCH,TRPV1,CAMK2G"
Neuroactive ligand signaling,199,5,2.512562814070352,0.02188272300660735,0.904485884273104,"CHRM1,GNB1,GRIK1,GRM4,HRH1"
Endocytosis,249,6,2.4096385542168677,0.01951826655430938,0.904485884273104,"EHD1,EGFR,IGF1R,PARD3,SNX6,RAB11FIP4"
Melanoma,72,3,4.166666666666666,0.02442914330315742,0.9087641308774562,"E2F3,EGFR,IGF1R"
Type I diabetes mellitus,42,2,4.761904761904762,0.04172927949417143,1,"HLA-DPB1,PTPRN2"
Mannose type O-glycan biosynthesis,23,1,4.3478260869565215,0.1545902032680823,1,FKRP
Phototransduction,28,1,3.571428571428571,0.12736142299375736,1,GNB1
Glutamatergic synapse,116,4,3.4482758620689653,0.03948227546515608,1,"DLG4,GNB1,GRIK1,GRM4"
Asthma,29,1,3.4482758620689653,0.1350389390285849,1,HLA-DPB1
