Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Mannose type O-glycan biosynthesis,23,1,4.3478260869565215,0.16195118629435257,1,FKRP
Glioma,75,3,4,0.04066872761400755,1,"E2F3,IGF1R,CAMK2G"
Asthma,29,1,3.4482758620689653,0.14231048818755673,1,HLA-DPB1
Inflammatory mediator regulation of TRP channels,98,3,3.061224489795918,0.0801583964276095,1,"HRH1,PRKCH,CAMK2G"
Melanoma,72,2,2.7777777777777777,0.13289623732586825,1,"E2F3,IGF1R"
Allograft rejection,36,1,2.7777777777777777,0.22225249867461155,1,HLA-DPB1
Mucin type O-glycan biosynthesis,36,1,2.7777777777777777,0.2811058970278868,1,GALNT16
Nicotinate and nicotinamide metabolism,37,1,2.7027027027027026,0.18851917334837237,1,NNMT
Efferocytosis,155,4,2.5806451612903225,0.05031238712292226,1,"MERTK,PPARD,BSG,CAMK2G"
Graft-versus-host disease,39,1,2.564102564102564,0.2240746300629399,1,HLA-DPB1
Homologous recombination,41,1,2.4390243902439024,0.2286037836731786,1,BABAM2
Bladder cancer,41,1,2.4390243902439024,0.32025577789484216,1,E2F3
ErbB signaling pathway,84,2,2.380952380952381,0.239636336271328,1,"CAMK2G,NCK2"
Type I diabetes mellitus,42,1,2.380952380952381,0.2867485100861637,1,HLA-DPB1
ECM-receptor interaction,89,2,2.247191011235955,0.23212270088300951,1,"TNN,SV2A"
