ONTOLOGY,TERM,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
BP,MHC class II protein complex assembly,14,3,21.428571428571427,9.917743013205888e-5,0.46838866129977913,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
BP,peptide antigen assembly with MHC class II protein complex,14,3,21.428571428571427,9.917743013205888e-5,0.46838866129977913,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
BP,MHC protein complex assembly,18,3,16.666666666666664,1.9335027383449472e-4,0.5492114528268822,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
BP,peptide antigen assembly with MHC protein complex,18,3,16.666666666666664,1.9335027383449472e-4,0.5492114528268822,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
BP,hexose metabolic process,233,7,3.004291845493562,2.535231548325206e-4,0.5761060170414197,"FOXK1,GAA,HK2,MAN2A1,MAN2B1,PDK1,PPARD"
CC,MHC class II protein complex,15,3,20,1.097786372041844e-4,0.46838866129977913,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
CC,lysosomal membrane,435,10,2.2988505747126435,1.2367241541096086e-4,0.46838866129977913,"ATP11A,TMEM9,GAA,GNB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,OCA2,PLEKHF1,LPCAT1"
CC,lytic vacuole membrane,435,10,2.2988505747126435,1.2367241541096086e-4,0.46838866129977913,"ATP11A,TMEM9,GAA,GNB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,OCA2,PLEKHF1,LPCAT1"
CC,vacuolar membrane,478,10,2.092050209205021,2.4968586275219405e-4,0.5761060170414197,"ATP11A,TMEM9,GAA,GNB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,OCA2,PLEKHF1,LPCAT1"
CC,MHC protein complex,23,3,13.043478260869565,5.754640316884208e-4,0.7925535764074293,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
MF,MHC class II receptor activity,9,3,33.33333333333333,2.6523893634032228e-5,0.46838866129977913,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
MF,MHC class II protein complex binding,25,3,12,4.754376063078194e-4,0.7925535764074293,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
MF,antigen binding,65,4,6.153846153846154,5.92915454978274e-4,0.7925535764074293,"HLA-DQA1,HLA-DQB1,HLA-DRB1,PPP2R1A"
MF,"beta-galactoside alpha-2,3-sialyltransferase activity",1,1,100,0.00757251984743343,1,ST3GAL6
MF,C5a anaphylatoxin chemotactic receptor binding,1,1,100,0.00777235602197719,1,C3
