Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
D-Amino acid metabolism,6,1,16.666666666666664,0.03510118910269574,1,GLS
Other glycan degradation,18,1,5.555555555555555,0.123909360909898,1,MAN2B1
"Alanine, aspartate and glutamate metabolism",37,2,5.405405405405405,0.02431471220298304,1,"GLS,ASNS"
Renin-angiotensin system,23,1,4.3478260869565215,0.11171793145567538,1,MME
Proximal tubule bicarbonate reclamation,23,1,4.3478260869565215,0.13095322392410325,1,GLS
Arginine biosynthesis,23,1,4.3478260869565215,0.1339550733300089,1,GLS
Biosynthesis of unsaturated fatty acids,27,1,3.7037037037037033,0.17846951326605787,1,ELOVL7
Fatty acid metabolism,56,2,3.571428571428571,0.06244924302805939,1,"ACADSB,ELOVL7"
Hedgehog signaling pathway,56,2,3.571428571428571,0.10099536117576004,1,"EVC,GLI2"
Folate biosynthesis,28,1,3.571428571428571,0.11934625201111182,1,GPHN
Fatty acid elongation,28,1,3.571428571428571,0.16046918039358105,1,ELOVL7
Asthma,29,1,3.4482758620689653,0.14939929594401236,1,IL13
Hippo signaling pathway - multiple species,29,1,3.4482758620689653,0.25017334023256455,1,TEAD1
GABAergic synapse,89,3,3.3707865168539324,0.0431747154303556,1,"GPHN,GLS,GNAI1"
Autophagy - other,32,1,3.125,0.1947421530703707,1,PIK3C3
