Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Long-term depression,60,4,6.666666666666667,0.00259943382057433,0.9669893812536524,"PLCB1,GRM1,PRKCA,PRKG1"
African trypanosomiasis,36,2,5.555555555555555,0.01892883710750615,1,"PLCB1,PRKCA"
GnRH secretion,64,3,4.6875,0.02394746835711175,1,"PLCB1,HCN1,PRKCA"
Gap junction,89,4,4.49438202247191,0.00855951196938867,1,"PLCB1,GRM1,PRKCA,PRKG1"
Long-term potentiation,67,3,4.477611940298507,0.02594098515585297,1,"PLCB1,GRM1,PRKCA"
Renin-angiotensin system,23,1,4.3478260869565215,0.12198574752821892,1,PRCP
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,24,1,4.166666666666666,0.18330141841483324,1,HS2ST1
Vibrio cholerae infection,50,2,4,0.05657041076974604,1,"PRKCA,TJP2"
Ether lipid metabolism,51,2,3.9215686274509802,0.03915424418947765,1,"ENPP2,UGT8"
Endocrine and other factor-regulated calcium reabsorption,53,2,3.7735849056603774,0.090353792012092607,1,"PLCB1,PRKCA"
Folate biosynthesis,28,1,3.571428571428571,0.13700718025768718,1,GPHN
Fatty acid elongation,28,1,3.571428571428571,0.17532864267926246,1,THEM5
Taste transduction,85,3,3.5294117647058822,0.01646885910590076,1,"PLCB1,GABRA6,GRM1"
Hippo signaling pathway - multiple species,29,1,3.4482758620689653,0.26629602952561326,1,FAT4
GABAergic synapse,89,3,3.3707865168539324,0.05121580172279407,1,"GPHN,GABRA6,PRKCA"
