Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Type I diabetes mellitus,42,5,11.904761904761903,2.2373526108486604e-5,0.0041614758561785,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,PTPRN2"
Autoimmune thyroid disease,51,5,9.803921568627452,1.5040048982896808e-5,0.0041614758561785,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,TPO"
Allograft rejection,36,4,11.11111111111111,1.200626850385905e-4,0.01214124746315925,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5"
Graft-versus-host disease,39,4,10.256410256410255,1.3055104799095972e-4,0.01214124746315925,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5"
Viral myocarditis,67,5,7.462686567164178,5.57272753567733e-4,0.04146109286543933,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,ITGB2"
Antigen processing and presentation,71,4,5.633802816901409,0.00143514744635004,0.08897914167370267,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5"
Cell adhesion molecule (CAM) interaction,155,6,3.870967741935484,0.00224239735763424,0.11916740243427708,"CDH4,HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,ITGB2"
Human T-cell leukemia virus 1 infection,220,7,3.1818181818181817,0.00289682843538917,0.1347025222455968,"ANAPC2,HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,ITGB2,MAD1L1"
Various types of N-glycan biosynthesis,44,3,6.8181818181818175,0.00433627067272354,0.1792325211392399,"B4GALNT3,HEXD,STT3A"
Staphylococcus aureus infection,93,3,3.225806451612903,0.00522903797458661,0.1943893183197107,"HLA-DRB1,HLA-DRB5,ITGB2"
Phagocytosis,251,6,2.3904382470119523,0.0057480712406366,0.1943893183197107,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,ITGB2,DYNLL1"
Herpes simplex virus 1 infection,176,5,2.840909090909091,0.00631027092432015,0.19561839865392475,"HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,SRSF9"
Asthma,29,2,6.896551724137931,0.0115419717879317,0.295792240267976,"HLA-DRB1,HLA-DRB5"
Leishmaniasis,75,3,4,0.01112089203850322,0.295792240267976,"HLA-DRB1,HLA-DRB5,ITGB2"
Natural killer cell mediated cytotoxicity,125,4,3.2,0.01192710646241838,0.295792240267976,"KLRC4-KLRK1,HLA-B,HLA-C,ITGB2"
