Description,N,DE,P.DE,FDR,SigGenesInSet
Thyroid hormone signaling pathway,121,4,0.04045390653956902,1,"NCOA2,FXYD2,THRA,NCOA3"
"Valine, leucine and isoleucine degradation",48,2,0.04962979093024065,1,"IVD,AACS"
Type I diabetes mellitus,42,2,0.0514327430202096,1,"HLA-A,PTPRN2"
Ubiquinone and other terpenoid-quinone biosynthesis,12,1,0.06340923788498923,1,COQ2
Neuroactive ligand-receptor interaction,367,5,0.07586352784447065,1,"PTH2,CHRNG,GRM4,HRH1,THRA"
Endocrine resistance,96,3,0.08203215365897319,1,"E2F3,PTK2,NCOA3"
Endocytosis,249,5,0.08612360779297352,1,"EHD1,FGFR2,HLA-A,SNX6,CYTH1"
Taurine and hypotaurine metabolism,16,1,0.09973896929796817,1,FMO2
Steroid biosynthesis,20,1,0.12261085764573453,1,FDFT1
Histidine metabolism,22,1,0.1311132292970798,1,HDC
Cardiac muscle contraction,83,2,0.13462652495027655,1,"FXYD2,CACNB2"
Mismatch repair,23,1,0.14390589029488968,1,MLH3
Proximal tubule bicarbonate reclamation,23,1,0.15221299945268466,1,FXYD2
Phototransduction,28,1,0.16225108955917444,1,SAG
Cell adhesion molecule (CAM) interaction,155,3,0.16528383428299243,1,"HLA-A,PTPRM,SELL"
Butanoate metabolism,27,1,0.16715104124619037,1,AACS
Synaptic vesicle cycle,78,2,0.1676438390387947,1,"SYT1,ATP6V0D1"
Collecting duct acid secretion,27,1,0.17669411315697195,1,ATP6V0D1
Viral carcinogenesis,193,3,0.22154700542753392,1,"HLA-A,SCIN,ATP6V0D1"
Small cell lung cancer,92,2,0.23108550789706395,1,"E2F3,PTK2"
Drug metabolism - cytochrome P450,71,1,0.23447048493810563,1,FMO2
Allograft rejection,36,1,0.24535037711566465,1,HLA-A
Graft-versus-host disease,39,1,0.25059419212805356,1,HLA-A
Phagocytosis,251,3,0.2812572462111008,1,"HLA-A,ATP6V0D1,MRC2"
Prostate cancer,105,2,0.2855184334819009,1,"E2F3,FGFR2"
Autoimmune thyroid disease,51,1,0.2918657620959654,1,HLA-A
Aldosterone-regulated sodium reabsorption,37,1,0.3120606467969167,1,FXYD2
Carbohydrate digestion and absorption,46,1,0.31849770015917406,1,FXYD2
Human cytomegalovirus infection,226,3,0.32939389562799354,1,"E2F3,HLA-A,PTK2"
Bladder cancer,41,1,0.3350754168333339,1,E2F3
MAPK signaling pathway,299,4,0.33759523500186794,1,"EFNA5,FGFR2,CACNB2,MAP3K6"
Vibrio cholerae infection,50,1,0.3431253697749723,1,ATP6V0D1
Mineral absorption,60,1,0.3480840865876248,1,FXYD2
Estrogen signaling pathway,137,2,0.3565913931340995,1,"NCOA2,NCOA3"
Rap1 signaling pathway,210,3,0.36787074607014913,1,"EFNA5,FGFR2,SKAP1,MAGI2"
Other types of O-glycan biosynthesis,49,1,0.37058626230056285,1,B3GLCT
Tuberculosis,178,2,0.3751187777396386,1,"ATP6V0D1,MRC2"
Herpes simplex virus 1 infection,176,2,0.3759950201159289,1,"HLA-A,SRSF4"
