ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
CC,vacuolar membrane,478,10,8.359140749876991e-4,1,"AP2A2,ATP11A,GABARAPL3,GNB1,HLA-DPB1,IRGM,SPPL2B,RPTOR,DNAJC5,VOPP1"
BP,positive regulation of peptidyl-threonine phosphorylation,29,3,0.0011568067524797732,1,"IRGM,CEMIP,RPTOR"
BP,peptidyl-threonine phosphorylation,100,5,0.0012244819225551923,1,"HIPK2,IRGM,CEMIP,RPTOR,WNK1"
CC,sperm plasma membrane,14,2,0.001594279375191258,1,"CCR6,ADAM21"
CC,lysosomal membrane,435,9,0.0017392642630417953,1,"AP2A2,ATP11A,GNB1,HLA-DPB1,IRGM,SPPL2B,RPTOR,DNAJC5,VOPP1"
CC,lytic vacuole membrane,435,9,0.0017392642630417953,1,"AP2A2,ATP11A,GNB1,HLA-DPB1,IRGM,SPPL2B,RPTOR,DNAJC5,VOPP1"
CC,clathrin-coated vesicle membrane,133,5,0.0017450174170647837,1,"AP2A2,HLA-DPB1,CEMIP,DNAJC5,SGIP1"
MF,protein kinase activator activity,122,5,0.0019359851176138875,1,"GCN1,IRGM,LTF,RPTOR,WNK1"
BP,peptidyl-threonine modification,110,5,0.001975762972013796,1,"HIPK2,IRGM,CEMIP,RPTOR,WNK1"
BP,positive regulation of protein-containing complex disassembly,37,3,0.002027762977023343,1,"IRGM,CARMIL1,WNK1"
BP,urate metabolic process,12,2,0.0022455799884963288,1,"CARMIL1,ABCG2"
CC,clathrin-coated vesicle,209,6,0.0023323635508130094,1,"AP2A2,AAK1,HLA-DPB1,CEMIP,DNAJC5,SGIP1"
MF,kinase activator activity,131,5,0.0024717302441550153,1,"GCN1,IRGM,LTF,RPTOR,WNK1"
CC,growth cone leading edge,1,1,0.002511808835140266,1,ARPC3
CC,AP-2 adaptor complex,10,2,0.002540056086322036,1,"AP2A2,SGIP1"
CC,clathrin coat of endocytic vesicle,10,2,0.002540056086322036,1,"AP2A2,SGIP1"
MF,galactolipase activity,1,1,0.002563740329625757,1,PNLIPRP2
MF,1-18:1-2-16:0-monogalactosyldiacylglycerol lipase activity,1,1,0.002563740329625757,1,PNLIPRP2
CC,clathrin-coated endocytic vesicle,89,4,0.002673803334261146,1,"AP2A2,HLA-DPB1,CEMIP,SGIP1"
BP,protein lipidation involved in autophagosome assembly,1,1,0.002716247024981968,1,IRGM
BP,cGAS/STING signaling pathway,1,1,0.002716247024981968,1,IRGM
BP,negative regulation of cGAS/STING signaling pathway,1,1,0.002716247024981968,1,IRGM
BP,negative regulation of digestive system process,14,2,0.002806147000033555,1,"PTGER3,WNK1"
BP,symmetric cell division,1,1,0.002965010856154881,1,SAPCD2
BP,negative regulation of protein localization to cell cortex,1,1,0.002965010856154881,1,SAPCD2
MF,amide transmembrane transporter activity,45,3,0.0030462680888493792,1,"CDH17,SLC1A7,ABCG2"
MF,hexaprenyldihydroxybenzoate methyltransferase activity,1,1,0.0030742806927077887,1,COQ3
MF,3-demethylubiquinone-9 3-O-methyltransferase activity,1,1,0.0030742806927077887,1,COQ3
MF,"3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity",1,1,0.0030742806927077887,1,COQ3
MF,decaprenyldihydroxybenzoate methyltransferase activity,1,1,0.0030742806927077887,1,COQ3
MF,3-demethylubiquinol-10 3-O-methyltransferase activity,1,1,0.0030742806927077887,1,COQ3
MF,3-demethylubiquinol-n 3-O-methyltransferase activity,1,1,0.0030742806927077887,1,COQ3
BP,positive regulation of osteoblast proliferation,13,2,0.0033045879858333662,1,"LRP5,LTF"
CC,clathrin-coated pit,75,4,0.0035079190560256502,1,"AP2A2,AAK1,CEMIP,SGIP1"
MF,glutathione transferase activity,27,2,0.003545482445797843,1,"GSTT4,GSTT1"
BP,regulation of peptidyl-threonine phosphorylation,45,3,0.00377647211821645,1,"IRGM,CEMIP,RPTOR"
MF,protein kinase regulator activity,223,6,0.0039068171158164,1,"GCN1,IRGM,LTF,PRKAR1B,RPTOR,WNK1"
BP,leukocyte cell-cell adhesion,416,8,0.004057170188306432,1,"TNIP1,SIRPB1,HLA-DPB1,JAK2,ARID1B,WNK1,MAD1L1,DNAJA3"
BP,negative regulation of tumor necrosis factor (ligand) superfamily member 11 production,1,1,0.004090381945950611,1,LTF
CC,vacuole,838,12,0.004521528452509664,1,"RAMP3,AP2A2,ATP11A,GABARAPL3,GNB1,HLA-DPB1,IRGM,SPPL2B,RPTOR,C3,DNAJC5,VOPP1"
CC,cytoplasmic side of membrane,207,6,0.004553081192391884,1,"AP2A2,GNA12,GNB1,JAK2,SPPL2B,DNAJA3"
CC,lytic vacuole,749,11,0.005898914620307298,1,"RAMP3,AP2A2,ATP11A,GNB1,HLA-DPB1,IRGM,SPPL2B,RPTOR,C3,DNAJC5,VOPP1"
CC,lysosome,749,11,0.005898914620307298,1,"RAMP3,AP2A2,ATP11A,GNB1,HLA-DPB1,IRGM,SPPL2B,RPTOR,C3,DNAJC5,VOPP1"
BP,detection of chemical stimulus involved in sensory perception of sweet taste,2,1,0.005923496396602425,1,TAS1R2
MF,sweet taste receptor activity,2,1,0.005923496396602425,1,TAS1R2
CC,sweet taste receptor complex,2,1,0.005923496396602425,1,TAS1R2
CC,taste receptor complex,2,1,0.005923496396602425,1,TAS1R2
BP,phosphatidylcholine catabolic process,16,2,0.006530500397182939,1,"LIPC,PNLIPRP2"
MF,"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity",2,1,0.006640777529695819,1,COQ3
MF,quinone cofactor methyltransferase activity,2,1,0.006640777529695819,1,COQ3
CC,extrinsic component of membrane,204,6,0.006764756599226392,1,"CDH17,GNA12,GNB1,JAK2,MCF2,COQ3"
BP,regulation of ubiquinone biosynthetic process,2,1,0.006776098111788057,1,COQ3
BP,DN3 thymocyte differentiation,1,1,0.006907581541842678,1,CCR6
BP,biofilm formation,2,1,0.006925508164916678,1,LTF
BP,single-species biofilm formation,2,1,0.006925508164916678,1,LTF
BP,single-species biofilm formation in or on host organism,2,1,0.006925508164916678,1,LTF
BP,aggregation of unicellular organisms,2,1,0.006925508164916678,1,LTF
BP,regulation of single-species biofilm formation,2,1,0.006925508164916678,1,LTF
BP,negative regulation of single-species biofilm formation,2,1,0.006925508164916678,1,LTF
BP,regulation of single-species biofilm formation in or on host organism,2,1,0.006925508164916678,1,LTF
BP,negative regulation of single-species biofilm formation in or on host organism,2,1,0.006925508164916678,1,LTF
BP,clathrin-dependent endocytosis,47,3,0.0069650761580408675,1,"AP2A2,AAK1,SGIP1"
MF,kinase regulator activity,252,6,0.0069812103500472055,1,"GCN1,IRGM,LTF,PRKAR1B,RPTOR,WNK1"
BP,regulation of synaptic vesicle cycle,13,2,0.0071429092251030345,1,"PRKAR1B,DNAJC5"
CC,clathrin coat of coated pit,17,2,0.007363429956892976,1,"AP2A2,SGIP1"
MF,protein serine/threonine kinase activator activity,59,3,0.00741979702934414,1,"GCN1,IRGM,LTF"
BP,peptidyl-serine phosphorylation,294,7,0.007717448740915748,1,"RAMP3,MAST2,STK32C,HIPK2,IRGM,RPTOR,WNK1"
MF,triglyceride lipase activity,24,2,0.007748468887464713,1,"LIPC,PNLIPRP2"
BP,positive regulation of integrin activation by cell surface receptor linked signal transduction,2,1,0.0077790273410282655,1,CDH17
BP,positive regulation of acute inflammatory response,28,2,0.007952435361884504,1,"PTGER3,C3"
BP,mineralocorticoid receptor signaling pathway,1,1,0.008177310287676423,1,JAK2
BP,programmed cell death induced by symbiont,1,1,0.008177310287676423,1,JAK2
MF,histone H3Y41 kinase activity,1,1,0.008177310287676423,1,JAK2
BP,interleukin-35-mediated signaling pathway,1,1,0.008177310287676423,1,JAK2
BP,activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,1,1,0.008177310287676423,1,JAK2
BP,positive regulation of skeletal muscle satellite cell proliferation,1,1,0.008177310287676423,1,JAK2
BP,positive regulation of growth factor dependent skeletal muscle satellite cell proliferation,1,1,0.008177310287676423,1,JAK2
MF,adrenomedullin receptor activity,3,1,0.008219314053059281,1,RAMP3
CC,adrenomedullin receptor complex,3,1,0.008219314053059281,1,RAMP3
CC,coated vesicle membrane,199,5,0.008430568303282484,1,"AP2A2,HLA-DPB1,CEMIP,DNAJC5,SGIP1"
BP,regulation of leukocyte cell-cell adhesion,379,7,0.008981498997783312,1,"SIRPB1,HLA-DPB1,JAK2,ARID1B,WNK1,MAD1L1,DNAJA3"
MF,membrane destabilizing activity,3,1,0.009376974008103927,1,LTF
BP,peptidyl-serine modification,307,7,0.009421717790858179,1,"RAMP3,MAST2,STK32C,HIPK2,IRGM,RPTOR,WNK1"
MF,"beta-galactoside alpha-2,3-sialyltransferase activity",1,1,0.009424335961544739,1,ST3GAL6
MF,C5a anaphylatoxin chemotactic receptor binding,1,1,0.00966000508105656,1,C3
MF,C5L2 anaphylatoxin chemotactic receptor binding,1,1,0.00966000508105656,1,C3
BP,mitotic cell cycle process,773,11,0.009846187842534002,1,"TENT4A,CCDC57,LRP5,MYH10,EXOC1,ARID1B,HECW2,RPTOR,WNK1,MAD1L1,SAPCD2"
MF,sphingosine hydroxylase activity,1,1,0.010258226885943376,1,DEGS2
CC,tertiary granule,164,4,0.01089015343250925,1,"AP2A2,ATP11A,LTF,PTPRN2"
CC,clathrin adaptor complex,26,2,0.011141942843855203,1,"AP2A2,SGIP1"
CC,clathrin-coated endocytic vesicle membrane,71,3,0.011248808004454637,1,"AP2A2,HLA-DPB1,SGIP1"
BP,positive regulation of flagellated sperm motility involved in capacitation,3,1,0.011286372300914907,1,CCR6
BP,galactolipid catabolic process,3,1,0.011471411199903163,1,PNLIPRP2
CC,cytoplasmic side of plasma membrane,170,5,0.011486399907465165,1,"AP2A2,GNA12,GNB1,JAK2,DNAJA3"
BP,negative regulation of gastric acid secretion,3,1,0.011639082696274335,1,PTGER3
BP,positive regulation of bone mineralization involved in bone maturation,3,1,0.01181762552444887,1,LTF
BP,type II interferon-mediated signaling pathway,26,2,0.011831789739797902,1,"IRGM,JAK2"
CC,coated vesicle,307,6,0.01201206642680953,1,"AP2A2,AAK1,HLA-DPB1,CEMIP,DNAJC5,SGIP1"
BP,triglyceride catabolic process,28,2,0.012202856250590846,1,"LIPC,PNLIPRP2"
MF,extracellularly glutamate-gated chloride channel activity,1,1,0.012484015598561441,1,SLC1A7
MF,proton-dependent oligopeptide secondary active transmembrane transporter activity,2,1,0.012616683823663951,1,CDH17
MF,secondary active oligopeptide transmembrane transporter activity,2,1,0.012616683823663951,1,CDH17
BP,regulation of protein serine/threonine kinase activity,285,6,0.012683095663411668,1,"IRGM,LRP5,LTF,PRKAR1B,CEMIP,RPTOR"
BP,iron ion transmembrane transport,31,2,0.012685127036857098,1,"LTF,STEAP3"
BP,adrenomedullin receptor signaling pathway,4,1,0.012794275667753423,1,RAMP3
MF,sphingolipid delta-4 desaturase activity,2,1,0.013046233336978371,1,DEGS2
BP,tumor necrosis factor (ligand) superfamily member 11 production,3,1,0.013617248216114331,1,LTF
BP,regulation of tumor necrosis factor (ligand) superfamily member 11 production,3,1,0.013617248216114331,1,LTF
CC,side of membrane,702,10,0.013694696721604506,1,"CCR6,AP2A2,GNA12,GNB1,HLA-DPB1,JAK2,SPPL2B,ADAM21,DNAJA3,ABCG2"
BP,renal urate salt excretion,3,1,0.013995921286229807,1,ABCG2
CC,granulocyte macrophage colony-stimulating factor receptor complex,3,1,0.0140999925491083,1,JAK2
BP,granulocyte-macrophage colony-stimulating factor signaling pathway,3,1,0.0140999925491083,1,JAK2
BP,positive regulation of lysosome organization,4,1,0.014152102331584098,1,IRGM
MF,SMC family protein binding,1,1,0.014250067818499104,1,TENT4A
BP,intermediate-density lipoprotein particle remodeling,1,1,0.01440909212842231,1,LIPC
BP,cross-receptor inhibition within G protein-coupled receptor heterodimer,2,1,0.014482212132285637,1,RAMP3
CC,amylin receptor complex 3,2,1,0.014482212132285637,1,RAMP3
BP,negative regulation of hepatocyte growth factor receptor signaling pathway,1,1,0.014802318823887712,1,ADAMTS12
BP,regulation of cellular response to hepatocyte growth factor stimulus,1,1,0.014802318823887712,1,ADAMTS12
BP,negative regulation of cellular response to hepatocyte growth factor stimulus,1,1,0.014802318823887712,1,ADAMTS12
BP,barbed-end actin filament uncapping,1,1,0.015225634114271846,1,CARMIL1
