Description,N,DE,P.DE,FDR,SigGenesInSet
Mucin type O-glycan biosynthesis,36,2,0.04261934227414427,1,"B3GNT3,GALNTL6"
Riboflavin metabolism,8,1,0.043385307840755255,1,ENPP3
Motor proteins,194,4,0.07863211033335195,1,"MYH9,MYO1E,DNAI4,CAPZA2"
Primary bile acid biosynthesis,17,1,0.0898620401111892,1,HSD17B4
Glycerolipid metabolism,64,2,0.0975242853470842,1,"TMEM68,MBOAT1"
Peroxisome,83,2,0.10036040370187732,1,"HSD17B4,CROT"
Glycosphingolipid biosynthesis - globo and isoglobo series,16,1,0.10614065467246064,1,HEXB
Taste transduction,85,2,0.11205444238403703,1,"PLCB1,GABRA6"
Alcoholism,174,3,0.113287343464455,1,"CREB1,PKIA,HDAC4"
Renin secretion,69,2,0.11739755564641222,1,"CREB1,PLCB1"
Long-term depression,60,2,0.12450308841920213,1,"PLCB1,GRID2"
Renin-angiotensin system,23,1,0.1253342732988504,1,LNPEP
Apelin signaling pathway,139,3,0.12942443184232297,1,"PLCB1,SMAD4,HDAC4"
Spinocerebellar ataxia,142,3,0.13271283777129836,1,"PLCB1,ATG2B,PSMA1"
Other glycan degradation,18,1,0.13800051982528358,1,HEXB
Cortisol synthesis and secretion,65,2,0.13993601438312936,1,"CREB1,PLCB1"
Glycosphingolipid biosynthesis - ganglio series,15,1,0.14418362168791174,1,HEXB
Thyroid hormone synthesis,75,2,0.14689631564357764,1,"CREB1,PLCB1"
Glycosaminoglycan degradation,19,1,0.1508127834221519,1,HEXB
Folate biosynthesis,28,1,0.15160179039489202,1,GPHN
Virion - Lassa virus and SFTS virus,17,1,0.15478195736239328,1,MYH9
Huntington disease,293,4,0.1576737939943481,1,"CREB1,PLCB1,ATG2B,PSMA1"
Pantothenate and CoA biosynthesis,21,1,0.15841963934339082,1,ENPP3
Pancreatic cancer,76,2,0.16188255646935829,1,"EGF,SMAD4,RB1"
Olfactory transduction,407,3,0.1683391957730616,1,"OR8U1,OR8J1,OR4X1,OR8U8"
Nucleocytoplasmic transport,107,2,0.16967189772627297,1,"IPO11,NUP153"
Glycosphingolipid biosynthesis - lacto and neolacto series,28,1,0.1800750207636725,1,B3GNT3
Protein export,31,1,0.18208227482138972,1,SPCS3
Fatty acid elongation,28,1,0.18630125836324174,1,THEM5
Colorectal cancer,86,2,0.1867913138250992,1,"EGF,SMAD4"
Porphyrin metabolism,46,1,0.1914328634335784,1,HEPHL1
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,24,1,0.19185228691297146,1,HS2ST1
Neuroactive ligand-receptor interaction,367,4,0.19387447868737911,1,"LPAR6,GABRA6,GALR1,GRID2,HTR2C"
Biosynthesis of unsaturated fatty acids,27,1,0.20196970214137785,1,HSD17B4
African trypanosomiasis,36,1,0.20617490236149424,1,PLCB1
Pathogenic Escherichia coli infection,198,3,0.2070504366410425,1,"MYH9,MYO1E,SEC24D"
Gap junction,89,2,0.208581941970024,1,"EGF,PLCB1,HTR2C"
Insulin secretion,86,2,0.20947802169783453,1,"CREB1,PLCB1"
Hormone signaling,217,3,0.21405992626640608,1,"DIO2,PLCB1,HEPHL1,SMAD4"
Glucagon signaling pathway,105,2,0.2158954339166905,1,"CREB1,PLCB1"
Starch and sucrose metabolism,35,1,0.216607389205131,1,ENPP3
