Description,N,DE,P.DE,FDR,SigGenesInSet
Polycomb repressive complex,83,3,0.028290266186179636,1,"SCMH1,AUTS2,MBD5"
Integrated stress response (ISR) signaling pathway,51,2,0.03267216633082193,1,"GRB10,TRIB3"
Thiamine metabolism,15,1,0.1157927885425752,1,AK4
Central carbon metabolism in cancer,70,2,0.12768909672013168,1,"MET,PFKP"
Tight junction,171,3,0.14047985916574834,1,"MYH11,NF2,TJP2"
Glycosphingolipid biosynthesis - lacto and neolacto series,28,1,0.14513444936458395,1,B3GNT3
Virion - Lassa virus and SFTS virus,17,1,0.15218908773120854,1,MYH11
Pentose phosphate pathway,31,1,0.15585545808723555,1,PFKP
Bacterial invasion of epithelial cells,77,2,0.15689398172432323,1,"FN1,MET"
Cadherin signaling,403,5,0.16578936827546026,1,"TMC3,MET,NF2,SCN4B,CDH23"
Galactose metabolism,31,1,0.1855878347534075,1,PFKP
Autophagy - other,32,1,0.195866495514202,1,ATG5
Integrin signaling,153,3,0.19696697944264402,1,"FN1,MET,PARVA"
Fructose and mannose metabolism,36,1,0.19980082317897455,1,PFKP
Glutathione metabolism,58,1,0.20694181235879677,1,SMS
Arginine and proline metabolism,50,1,0.21351102694450108,1,SMS
Malaria,50,1,0.23345291025355125,1,MET
Ferroptosis,41,1,0.23351565305541816,1,ATG5
Aminoacyl-tRNA biosynthesis,43,1,0.24343966464444586,1,FARS2
Cysteine and methionine metabolism,52,1,0.24717356541159105,1,SMS
NOD-like receptor signaling pathway,184,2,0.25003998038355846,1,"DEFB4A,ATG5"
Hippo signaling pathway - multiple species,29,1,0.26325675566089846,1,NF2
Mucin type O-glycan biosynthesis,36,1,0.26438274017372965,1,B3GNT3
Staphylococcus aureus infection,93,1,0.2812859976738847,1,DEFB4A
Thyroid cancer,37,1,0.28164954135416553,1,CCDC6
RIG-I-like receptor signaling pathway,72,1,0.28494527265767794,1,ATG5
Glycolysis / Gluconeogenesis,67,1,0.2897709150216743,1,PFKP
Vascular smooth muscle contraction,134,2,0.28994995471412077,1,"KCNMB3,MYH11"
Vibrio cholerae infection,50,1,0.2985020277488166,1,TJP2
