Description,N,DE,P.DE,FDR,SigGenesInSet
Ubiquitin mediated proteolysis,142,7,5.076176438752006e-4,0.1888337635215746,"RHOBTB2,FBXW8,FZR1,ANAPC11,SMURF2,UBE2G1,BTRC"
Lipoic acid metabolism,19,2,0.007217332921272176,1,"DLST,OGDH"
Citrate cycle (TCA cycle),30,2,0.021557325239809848,1,"DLST,OGDH"
2-Oxocarboxylic acid metabolism,33,2,0.023011214209562886,1,"DLST,OGDH"
Lysine degradation,63,3,0.030799418839845015,1,"DLST,ALDH2,SMYD3"
Tryptophan metabolism,41,2,0.03305873834397617,1,"DLST,ALDH2"
Morphine addiction,91,4,0.035376383793201155,1,"GRK5,PDE4D,PRKCB,GNG12"
Fatty acid degradation,43,2,0.037699605587276606,1,"ALDH2,ACSL1"
Ferroptosis,41,2,0.05238261730456757,1,"LPCAT3,ACSL1"
Aminoacyl-tRNA biosynthesis,43,2,0.05672911012296851,1,"FARSA,GATB"
Carbon metabolism,116,3,0.060008523251769946,1,"DLST,OGDH,TKT"
"Parathyroid hormone synthesis, secretion and action",115,4,0.06197935565869467,1,"AKAP13,PDE4D,PRKCB,CREB3L2"
Progesterone-mediated oocyte maturation,98,3,0.07604669614986294,1,"FZR1,ANAPC11,RPS6KA2"
mTOR signaling pathway,155,4,0.08558753477982484,1,"CAB39,PRKCB,RPS6KA2,NPRL3"
Efferocytosis,155,4,0.09497415541709806,1,"DNMT3A,VPS39,P2RY2,MAPKAPK2"
Viral life cycle - HIV-1,68,2,0.10354076274818202,1,"BICD2,SERINC5"
Fc gamma R-mediated phagosome formation,96,3,0.10553979579406964,1,"INPP5D,PRKCB,GAB2"
Phosphatidylinositol signaling system,97,3,0.10863956000533143,1,"INPP5D,PRKCB,MTMR3"
Oocyte meiosis,127,3,0.10994639656311309,1,"ANAPC11,RPS6KA2,BTRC"
Insulin resistance,108,3,0.11059850385666208,1,"PRKCB,RPS6KA2,CREB3L2"
Ascorbate and aldarate metabolism,31,1,0.11348744951880632,1,ALDH2
Hippo signaling pathway,157,4,0.12261508244834528,1,"PATJ,AXIN1,BTRC,DLG5"
Inflammatory mediator regulation of TRP channels,98,3,0.12762919093934844,1,"P2RY2,PRKCB,PRKCH"
