Description,N,DE,P.DE,FDR,SigGenesInSet
Starch and sucrose metabolism,35,2,0.011560903985808777,1,"GAA,HK2"
Galactose metabolism,31,2,0.012512369577384967,1,"GAA,HK2"
Ether lipid metabolism,51,2,0.02356320984371062,1,"LPCAT1,PLPP3"
Autoimmune thyroid disease,51,2,0.02508012609690558,1,"HLA-DRB1,TPO"
Glycerophospholipid metabolism,102,3,0.02577109496230869,1,"LCLAT1,LPCAT1,PLPP3"
Type I diabetes mellitus,42,2,0.027976329719892678,1,"HLA-DRB1,PTPRN2"
HIF-1 signaling pathway,109,3,0.03659005989011482,1,"HK2,PDK1,TEK"
"Neomycin, kanamycin and gentamicin biosynthesis",5,1,0.04264549339597053,1,HK2
Glycerolipid metabolism,64,2,0.055737493704414665,1,"LCLAT1,PLPP3"
Antigen processing and presentation,71,2,0.056377159430100826,1,"HLA-DRB1,TAP2"
Cornified envelope formation,213,3,0.06122770162213415,1,"CYP4F22,KRT1,PPP2R1A"
Rheumatoid arthritis,91,2,0.06487587522663413,1,"HLA-DRB1,TEK"
Lipoic acid metabolism,19,1,0.07688182637366447,1,BCKDHA
Central carbon metabolism in cancer,70,2,0.09127866737337063,1,"HK2,PDK1"
Th1 and Th2 cell differentiation,91,2,0.11913846917143922,1,"HLA-DRB1,MAML3"
Asthma,29,1,0.1260355231090256,1,HLA-DRB1
2-Oxocarboxylic acid metabolism,33,1,0.13080209926497927,1,BCKDHA
TGF-beta signaling pathway,110,2,0.1379032702829629,1,"PPP2R1A,THSD4"
Fatty acid elongation,28,1,0.13793389079427046,1,ACOT1
Tyrosine metabolism,36,1,0.14072110464022453,1,TPO
Biosynthesis of unsaturated fatty acids,27,1,0.15345678596856932,1,ACOT1
Primary immunodeficiency,36,1,0.15536601922927154,1,TAP2
Fat digestion and absorption,43,1,0.16195078107049907,1,PLPP3
Propanoate metabolism,32,1,0.16739069432816836,1,BCKDHA
Fructose and mannose metabolism,36,1,0.17243497303446192,1,HK2
Amino sugar and nucleotide sugar metabolism,38,1,0.1733731761423302,1,HK2
Biosynthesis of nucleotide sugars,37,1,0.17913721760365472,1,HK2
Allograft rejection,36,1,0.18171494885853923,1,HLA-DRB1
Homologous recombination,41,1,0.18255820127056818,1,TOP3A
Graft-versus-host disease,39,1,0.18668478073975558,1,HLA-DRB1
