Description,N,DE,P.DE,FDR,SigGenesInSet
Carbohydrate digestion and absorption,46,2,0.04177043965542171,1,"HK2,CACNA1D"
"Neomycin, kanamycin and gentamicin biosynthesis",5,1,0.05081073150239246,1,HK2
Type II diabetes mellitus,46,2,0.07362347328313501,1,"HK2,CACNA1D"
Primary bile acid biosynthesis,17,1,0.07412248034673778,1,CYP7B1
Vascular smooth muscle contraction,134,3,0.09269243966154711,1,"GNA12,KCNMA1,CACNA1D"
Renin secretion,69,2,0.09587112673043807,1,"KCNMA1,CACNA1D"
Central carbon metabolism in cancer,70,2,0.12301594771450299,1,"HK2,PDK1"
Tight junction,171,3,0.13791749166211958,1,"PATJ,CLDN4,CACNA1D"
RNA polymerase,34,1,0.1515593579186498,1,CRCP
cGMP-PKG signaling pathway,165,3,0.16045256334595154,1,"GNA12,KCNMA1,CACNA1D"
Starch and sucrose metabolism,35,1,0.175524543376188,1,HK2
Primary immunodeficiency,36,1,0.1836086047891981,1,BLNK
Galactose metabolism,31,1,0.18485518549813837,1,HK2
Insulin secretion,86,2,0.1932085253230381,1,"KCNMA1,CACNA1D"
Amino sugar and nucleotide sugar metabolism,38,1,0.19600151618130912,1,HK2
Biosynthesis of nucleotide sugars,37,1,0.20209194957301302,1,HK2
Fructose and mannose metabolism,36,1,0.20230983096118493,1,HK2
HIF-1 signaling pathway,109,2,0.21826737995635137,1,"HK2,PDK1"
Steroid hormone biosynthesis,65,1,0.24202312417982494,1,CYP7B1
Virion - Hepatitis viruses,48,1,0.2476354367377329,1,CLDN4
Type I diabetes mellitus,42,1,0.2691088591554315,1,PTPRN2
Glycolysis / Gluconeogenesis,67,1,0.296805124144114,1,HK2
Insulin signaling pathway,139,2,0.2970630109392979,1,"HK2,PRKAR1B"
Complement and coagulation cascades,88,1,0.33390463899081596,1,SERPINA5
PPAR signaling pathway,76,1,0.37497628015167916,1,APOA5
Lysine degradation,63,1,0.3878522631992498,1,PRDM16
Pathogenic Escherichia coli infection,198,2,0.38846783378645877,1,"CLDN4,GNA12"
Epstein-Barr virus infection,201,2,0.3918834320354705,1,"BLNK,NCOR2"
Notch signaling pathway,62,1,0.40301307111929985,1,NCOR2
Long-term depression,60,1,0.4250517971075204,1,GNA12
Cardiac muscle contraction,83,1,0.4312470903149638,1,CACNA1D
Amphetamine addiction,69,1,0.4382228670091994,1,CACNA1D
Wnt signaling pathway,177,2,0.46281471067146174,1,"MCC,ROR1"
GnRH secretion,64,1,0.46894055344429114,1,CACNA1D
Carbon metabolism,116,1,0.4699598530614652,1,HK2
Cortisol synthesis and secretion,65,1,0.47285410392026817,1,CACNA1D
B cell receptor signaling pathway,82,1,0.48138904998143983,1,BLNK
NF-kappa B signaling pathway,104,1,0.4997589088352474,1,BLNK
Gastric acid secretion,76,1,0.5043996594993245,1,KCNJ10
Salivary secretion,93,1,0.5051827219373366,1,KCNMA1
Non-small cell lung cancer,72,1,0.5058190066280082,1,FHIT
Progesterone-mediated oocyte maturation,98,1,0.5126952042531596,1,STK10
Pancreatic secretion,101,1,0.532436007755539,1,KCNMA1
Small cell lung cancer,92,1,0.5426607106790664,1,FHIT
Protein digestion and absorption,102,1,0.5476966552324771,1,COL23A1
Axon guidance,181,2,0.5569607895630617,1,"ABLIM3,ROBO1"
GnRH signaling pathway,93,1,0.5631741713638012,1,CACNA1D
Cadherin signaling,403,3,0.5650059856464407,1,"TMC3,FMN1,TMC7"
Leukocyte transendothelial migration,114,1,0.565401059265686,1,CLDN4
GABAergic synapse,89,1,0.5680904578868847,1,CACNA1D
Fc gamma R-mediated phagosome formation,96,1,0.5717372448370712,1,HCK
Hypertrophic cardiomyopathy,99,1,0.5770804059852213,1,CACNA1D
Endocytosis,249,2,0.5813371416267268,1,"RAB11FIP3,DNAJC6"
Arrhythmogenic right ventricular cardiomyopathy,86,1,0.5834173787657799,1,CACNA1D
Serotonergic synapse,113,1,0.5855863049440495,1,CACNA1D
Purine metabolism,127,1,0.6091851404104618,1,FHIT
Protein processing in endoplasmic reticulum,171,1,0.6129484819720539,1,DNAJC5B
Aldosterone synthesis and secretion,98,1,0.6175738869007024,1,CACNA1D
Ubiquitin mediated proteolysis,142,1,0.6227808197823788,1,"UBE2F,FBXW7"
Osteoclast differentiation,134,1,0.6235544851045547,1,BLNK
Dilated cardiomyopathy,104,1,0.6242319837394326,1,CACNA1D
Circadian entrainment,97,1,0.6274672752716502,1,CACNA1D
Hepatitis C,155,1,0.6306964401804869,1,CLDN4
Sphingolipid signaling pathway,123,1,0.6341967319408274,1,GNA12
Retrograde endocannabinoid signaling,141,1,0.6699110501960085,1,CACNA1D
"Growth hormone synthesis, secretion and action",121,1,0.6737769173064352,1,CACNA1D
"Parathyroid hormone synthesis, secretion and action",115,1,0.6753326617893635,1,GNA12
Cornified envelope formation,213,1,0.6760859512167064,1,CLDN4
Cholinergic synapse,114,1,0.6817744697562277,1,CACNA1D
Glutamatergic synapse,116,1,0.6926280143889347,1,CACNA1D
Cell adhesion molecule (CAM) interaction,155,1,0.7015455043509597,1,CLDN4
Dopaminergic synapse,131,1,0.7025432615653788,1,CACNA1D
Cellular senescence,155,1,0.7109159069441691,1,CACNA1D
MAPK signaling pathway,299,2,0.7179802672626624,1,"GNA12,CACNA1D"
Cushing syndrome,155,1,0.7410862066185582,1,CACNA1D
Thermogenesis,219,1,0.7444792324907373,1,PRDM16
Adrenergic signaling in cardiomyocytes,152,1,0.7448213713841891,1,CACNA1D
Hippo signaling pathway,157,1,0.7502120183891018,1,PATJ
Oxytocin signaling pathway,154,1,0.7576777461622523,1,CACNA1D
Kaposi sarcoma-associated herpesvirus infection,194,1,0.7591173628829975,1,HCK
Olfactory transduction,407,1,0.7613796495875925,1,OR52M1
Phospholipase D signaling pathway,147,1,0.762999843403661,1,GNA12
Prion disease,259,1,0.7677878093588755,1,CACNA1D
Hormone signaling,217,1,0.7682249321874937,1,GNA12
Chemokine signaling pathway,192,1,0.7725038822853638,1,HCK
Chemical carcinogenesis - receptor activation,216,1,0.7743015694517821,1,CACNA1D
Shigellosis,244,1,0.8256692711738003,1,HK2
Huntington disease,293,1,0.8303494336827577,1,KCNJ10
Human cytomegalovirus infection,226,1,0.8351371491524011,1,GNA12
cAMP signaling pathway,225,1,0.8379784761610376,1,CACNA1D
Regulation of actin cytoskeleton,230,1,0.8617200601086599,1,GNA12
Calcium signaling pathway,252,1,0.8855152507432162,1,CACNA1D
