Description,N,DE,P.DE,FDR,SigGenesInSet
Type I diabetes mellitus,42,4,1.7703529132439343e-4,0.06585712837267435,"HLA-DQB1,HLA-DRB1,HLA-G,PTPRN2"
Allograft rejection,36,3,0.0013142827518918352,0.17847652744153972,"HLA-DQB1,HLA-DRB1,HLA-G"
Graft-versus-host disease,39,3,0.0014393268342059655,0.17847652744153972,"HLA-DQB1,HLA-DRB1,HLA-G"
Autoimmune thyroid disease,51,3,0.002313088391883211,0.21511722044513862,"HLA-DQB1,HLA-DRB1,HLA-G"
Glycerophospholipid metabolism,102,4,0.004794152624456096,0.30917408570055976,"SGMS1,LPCAT1,DGKI,PGS1"
Staphylococcus aureus infection,93,3,0.004986678801621932,0.30917408570055976,"HLA-DQB1,HLA-DRB1,C3"
Inflammatory bowel disease,64,3,0.006154528105871166,0.32706920791201055,"HLA-DQB1,HLA-DRB1,SMAD3"
Leishmaniasis,75,3,0.007703573145147093,0.3425494903031083,"HLA-DQB1,HLA-DRB1,C3"
Antigen processing and presentation,71,3,0.008287487668623587,0.3425494903031083,"HLA-DQB1,HLA-DRB1,HLA-G"
Asthma,29,2,0.009374706572227807,0.34873908448687446,"HLA-DQB1,HLA-DRB1"
Rheumatoid arthritis,91,3,0.010578449196381066,0.35774391827761426,"HLA-DQB1,HLA-DRB1,TEK"
Systemic lupus erythematosus,122,3,0.012065584627856599,0.37403312346355455,"HLA-DQB1,HLA-DRB1,C3"
Starch and sucrose metabolism,35,2,0.013417142195782049,0.3839366843716094,"GAA,HK2"
Galactose metabolism,31,2,0.014683957300564135,0.39017372255784705,"GAA,HK2"
Viral myocarditis,67,3,0.016422385398810767,0.4034358758512325,"HLA-DQB1,HLA-DRB1,HLA-G"
Herpes simplex virus 1 infection,176,4,0.01735208068177344,0.4034358758512325,"HLA-DQB1,HLA-DRB1,HLA-G,C3"
Human T-cell leukemia virus 1 infection,220,5,0.019305789428986458,0.42245609809311546,"HLA-DQB1,HLA-DRB1,HLA-G,SMAD3,MAD1L1"
Intestinal immune network for IgA production,46,2,0.021940394549728192,0.4534348206943827,"HLA-DQB1,HLA-DRB1"
Cell adhesion molecule (CAM) interaction,155,4,0.023602258819208154,0.462107383197128,"CDH4,HLA-DQB1,HLA-DRB1,HLA-G"
Endocytosis,249,5,0.03364736217181963,0.6258409363958451,"RNF103-CHMP3,PSD4,HLA-G,SMAD3,ASAP2"
Hippo signaling pathway,157,4,0.036805364323201674,0.6259690239186096,"CTNNA2,LLGL2,SMAD3,PPP2R1A"
Viral carcinogenesis,193,4,0.03819133487557538,0.6259690239186096,"HLA-G,C3,MAD1L1,DNAJA3"
Th17 cell differentiation,107,3,0.03870238588744092,0.6259690239186096,"HLA-DQB1,HLA-DRB1,SMAD3"
HIF-1 signaling pathway,109,3,0.04429408201363915,0.6612234007180126,"HK2,PDK1,TEK"
Ubiquinone and other terpenoid-quinone biosynthesis,12,1,0.044437056499866436,0.6612234007180126,COQ3
"Neomycin, kanamycin and gentamicin biosynthesis",5,1,0.0462902574472346,0.662306760398895,HK2
