Description,N,DE,P.DE,FDR,SigGenesInSet
Ubiquitin mediated proteolysis,142,6,0.0022620293414443646,0.8414749150173036,"RHOBTB2,FBXW8,FZR1,SMURF2,UBE2G1,BTRC"
Amoebiasis,100,4,0.018317639605513882,1,"LAMA3,PRKCB,VCL,CD1D"
Hematopoietic cell lineage,93,3,0.030867873617707105,1,"FCER2,CD1D,CD9"
Carbon metabolism,116,3,0.05489369769533131,1,"OGDH,ACOX1,TKT"
Polycomb repressive complex,83,3,0.05612474179517786,1,"FOXK1,RYBP,AUTS2"
"Parathyroid hormone synthesis, secretion and action",115,4,0.056623536506315214,1,"AKAP13,PDE4D,PRKCB,CREB3L2"
ATP-dependent chromatin remodeling,115,3,0.06660515504934442,1,"BRD8,EP400,MTA2"
Other types of O-glycan biosynthesis,49,2,0.09619323462917323,1,"COLGALT2,B4GALT1"
Insulin resistance,108,3,0.10268065936957056,1,"PRKCB,RPS6KA2,CREB3L2"
Hippo signaling pathway,157,4,0.11190099565601319,1,"PATJ,AXIN1,BTRC,DLG5"
Lipoic acid metabolism,19,1,0.11645425941057452,1,OGDH
Inflammatory mediator regulation of TRP channels,98,3,0.11737947398067328,1,"P2RY2,PRKCB,PRKCH"
Morphine addiction,91,3,0.12009645607167213,1,"GRK5,PDE4D,PRKCB"
Steroid biosynthesis,20,1,0.12967682998084254,1,CEL
Glycosaminoglycan biosynthesis - keratan sulfate,14,1,0.13775373871735025,1,B4GALT1
Lysine degradation,63,2,0.14003652647761275,1,"COLGALT2,SMYD3"
Hedgehog signaling pathway,56,2,0.16187927482535353,1,"SMURF2,BTRC"
alpha-Linolenic acid metabolism,26,1,0.16589397923115598,1,ACOX1
Amphetamine addiction,69,2,0.1749421872951667,1,"PRKCB,CREB3L2"
Asthma,29,1,0.17641969670582655,1,PRG2
Cytokine-cytokine receptor interaction,293,3,0.18600380149916665,1,"IL1RN,IL20,IL1RL1"
Glycosphingolipid biosynthesis - lacto and neolacto series,28,1,0.19240188298982663,1,B4GALT1
Mannose type O-glycan biosynthesis,23,1,0.19427464223985813,1,B4GALT1
Thyroid hormone synthesis,75,2,0.19472642784497535,1,"PRKCB,CREB3L2"
Long-term potentiation,67,2,0.1953370076680422,1,"PRKCB,RPS6KA2"
Citrate cycle (TCA cycle),30,1,0.1984688782262209,1,OGDH
2-Oxocarboxylic acid metabolism,33,1,0.20302986349405674,1,OGDH
Pentose phosphate pathway,31,1,0.20367651163470377,1,TKT
mTOR signaling pathway,155,3,0.2180662011221038,1,"CAB39,PRKCB,RPS6KA2"
NF-kappa B signaling pathway,104,2,0.22442646209555012,1,"PRKCB,CARD14"
Fat digestion and absorption,43,1,0.22698129352702226,1,CEL
Biosynthesis of unsaturated fatty acids,27,1,0.22887367535949046,1,ACOX1
African trypanosomiasis,36,1,0.22924430730393044,1,PRKCB
Galactose metabolism,31,1,0.23435027850440632,1,B4GALT1
Colorectal cancer,86,2,0.23487067662958613,1,"RALGDS,AXIN1"
MAPK signaling pathway,299,5,0.2368395999818326,1,"ELK4,PRKCB,RPS6KA2,MAP4K3,RPS6KA4"
Pancreatic secretion,101,2,0.2381986303992469,1,"CEL,PRKCB"
Tight junction,171,3,0.24001662263145151,1,"PATJ,TUBA1C,CD1D"
beta-Alanine metabolism,31,1,0.2423675861616018,1,ACOX1
Progesterone-mediated oocyte maturation,98,2,0.244869212159827,1,"FZR1,RPS6KA2"
Propanoate metabolism,32,1,0.2503869389527433,1,ACOX1
Fatty acid degradation,43,1,0.2584256308506132,1,ACOX1
Human papillomavirus infection,330,5,0.2751947096442546,1,"PATJ,UBR4,LAMA3,CREB3L2,AXIN1"
Gap junction,89,2,0.2758953244697951,1,"PRKCB,TUBA1C"
Homologous recombination,41,1,0.2762896668567608,1,BABAM2
