Description,N,DE,P.DE,FDR,SigGenesInSet
Leishmaniasis,75,3,0.008384648234231212,1,"HLA-DPB1,JAK2,C3"
Drug metabolism - cytochrome P450,71,2,0.018391819855259034,1,"GSTT4,GSTT1"
Chemical carcinogenesis - DNA adducts,70,2,0.018928124549573613,1,"GSTT4,GSTT1"
Glutathione metabolism,58,2,0.021479490794084496,1,"GSTT4,GSTT1"
Metabolism of xenobiotics by cytochrome P450,77,2,0.023079692174514353,1,"GSTT4,GSTT1"
Th1 and Th2 cell differentiation,91,3,0.030411825427927607,1,"HLA-DPB1,JAK2,MAML3"
Type I diabetes mellitus,42,2,0.03588715292151877,1,"HLA-DPB1,PTPRN2"
Drug metabolism - other enzymes,82,2,0.04016984874834412,1,"GSTT4,GSTT1"
Hepatocellular carcinoma,169,4,0.040598683752617964,1,"GSTT4,GSTT1,LRP5,ARID1B"
Ubiquinone and other terpenoid-quinone biosynthesis,12,1,0.04219777668733363,1,COQ3
Pathways in cancer,530,8,0.044785831026719236,1,"DCC,GSTT4,GNA12,GNB1,GSTT1,JAK2,LRP5,PTGER3"
Hormone signaling,217,4,0.04689173655438364,1,"RAMP3,GNA12,GNB1,JAK2"
Staphylococcus aureus infection,93,2,0.048909539067836336,1,"HLA-DPB1,C3"
Toxoplasmosis,110,3,0.04896287882737022,1,"HLA-DPB1,IRGM,JAK2"
Glycerolipid metabolism,64,2,0.06863703840434088,1,"LIPC,PNLIPRP2"
Platinum drug resistance,74,2,0.07267831361335272,1,"GSTT4,GSTT1"
Taste transduction,85,2,0.08135521135259033,1,"PDE1A,TAS1R2"
Vascular smooth muscle contraction,134,3,0.08202293482078749,1,"RAMP3,GNA12,MYH10"
Shigellosis,244,4,0.08299329221850661,1,"ARPC3,TNIP1,RPTOR,C3"
Herpes simplex virus 1 infection,176,3,0.08492516327808405,1,"HLA-DPB1,JAK2,C3"
Tuberculosis,178,3,0.0856834603002655,1,"HLA-DPB1,JAK2,C3"
Systemic lupus erythematosus,122,2,0.0866756721872695,1,"HLA-DPB1,C3"
Insulin signaling pathway,139,3,0.08684241082739037,1,"INPP5A,PRKAR1B,RPTOR"
"Parathyroid hormone synthesis, secretion and action",115,3,0.09044558849474228,1,"GNA12,LRP5,WNK1"
Olfactory transduction,407,3,0.09924897987817002,1,"OR52M1,GNB1,PDE1A"
Efferocytosis,155,3,0.11633783642920832,1,"SIRPB1,ATP11A,JAK2"
Synaptic vesicle cycle,78,2,0.11823934700081443,1,"AP2A2,SLC1A7"
Endocytosis,249,4,0.11841784580186077,1,"RNF103-CHMP3,ARPC3,AP2A2,PSD4"
Phototransduction,28,1,0.1284241385461946,1,GNB1
Pathogenic Escherichia coli infection,198,3,0.13556325858634216,1,"ARPC3,GNA12,MYH10"
Glycosphingolipid biosynthesis - lacto and neolacto series,28,1,0.1360234211952347,1,ST3GAL6
Asthma,29,1,0.14176204803685305,1,HLA-DPB1
Virion - Lassa virus and SFTS virus,17,1,0.14718782909154537,1,MYH10
Viral carcinogenesis,193,3,0.14919226404508318,1,"C3,MAD1L1,DNAJA3"
Kaposi sarcoma-associated herpesvirus infection,194,3,0.14962718637273606,1,"GNB1,JAK2,C3"
Folate transport and metabolism,30,1,0.15358931134602474,1,ABCG2
Chemokine signaling pathway,192,3,0.1549764787606524,1,"CCR6,GNB1,JAK2"
Chemical carcinogenesis - receptor activation,216,3,0.16217529691460858,1,"GSTT4,GSTT1,JAK2"
Necroptosis,160,2,0.16833909774353376,1,"RNF103-CHMP3,JAK2"
Antifolate resistance,30,1,0.170930506245486,1,ABCG2
Phagocytosis,251,3,0.1762701938079299,1,"HLA-DPB1,LTF,C3"
Fat digestion and absorption,43,1,0.17815689305491428,1,PNLIPRP2
Autophagy - other,32,1,0.18164701037071668,1,RPTOR
Th17 cell differentiation,107,2,0.18445297587505582,1,"HLA-DPB1,JAK2"
Allograft rejection,36,1,0.20468841148341974,1,HLA-DPB1
Intestinal immune network for IgA production,46,1,0.20913534970727438,1,HLA-DPB1
Graft-versus-host disease,39,1,0.21003842023039485,1,HLA-DPB1
Fluid shear stress and atherosclerosis,141,2,0.21225030388726263,1,"GSTT4,GSTT1"
Ferroptosis,41,1,0.21869488766711326,1,STEAP3
Influenza A,168,2,0.2234097984790278,1,"HLA-DPB1,JAK2"
Morphine addiction,91,2,0.22648320561446944,1,"GNB1,PDE1A"
Integrated stress response (ISR) signaling pathway,51,1,0.2346832586316506,1,RPTOR
Human cytomegalovirus infection,226,3,0.23905069705553827,1,"GNA12,GNB1,PTGER3"
