ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
BP,post-translational protein modification,1064,20,6.651658858684655e-4,1,"BRD8,CHP1,UBR4,AUTS2,FBXW8,KANSL1,FZR1,BCL11A,NDFIP2,PRKCB,EP400,SMURF2,SMYD3,UBE2G1,AXIN1,ZNRF1,BTRC,RPS6KA4,MTA2,BABAM2"
BP,histone modification,120,6,9.96584846466021e-4,1,"BRD8,AUTS2,KANSL1,EP400,SMYD3,MTA2"
BP,chromatin organization,761,16,0.0010092542131685924,1,"BRD8,ZZEF1,RYBP,KANSL1,STPG4,HMGA1,RERE,PRKCB,EP400,SMYD3,SRPK2,TOP1,AXIN1,RPS6KA4,MTA2,BABAM2"
BP,peptidyl-serine phosphorylation,294,10,0.0011386236714330026,1,"PDE4D,CAB39,PRKCB,PRKCH,RPS6KA2,SMYD3,SRPK2,TOP1,AXIN1,RPS6KA4"
BP,G protein-coupled purinergic nucleotide receptor signaling pathway,12,2,0.0011948110786251219,1,"P2RY2,PTAFR"
MF,G protein-coupled purinergic nucleotide receptor activity,12,2,0.0011948110786251219,1,"P2RY2,PTAFR"
MF,ubiquitin ligase activator activity,7,2,0.001460262621710979,1,"FZR1,BTRC"
BP,peptidyl-serine modification,307,10,0.0015055519686929665,1,"PDE4D,CAB39,PRKCB,PRKCH,RPS6KA2,SMYD3,SRPK2,TOP1,AXIN1,RPS6KA4"
MF,ribosomal protein S6 kinase activity,7,2,0.001979588887023788,1,"RPS6KA2,RPS6KA4"
MF,thiamine pyrophosphate binding,8,2,0.0022458007073998015,1,"OGDH,TKT"
MF,nuclear receptor coactivator activity,55,4,0.002247278697833615,1,"BRD8,ETS1,HMGA1,PRKCB"
BP,protein-DNA complex organization,845,16,0.002364134773932579,1,"BRD8,ZZEF1,RYBP,KANSL1,STPG4,HMGA1,RERE,PRKCB,EP400,SMYD3,SRPK2,TOP1,AXIN1,RPS6KA4,MTA2,BABAM2"
MF,interleukin-20 receptor binding,1,1,0.002403447601326253,1,IL20
BP,positive regulation of post-translational protein modification,156,6,0.0025063348921284586,1,"AUTS2,KANSL1,FZR1,NDFIP2,AXIN1,BTRC"
BP,chromatin remodeling,618,13,0.003070982264401603,1,"RYBP,KANSL1,STPG4,HMGA1,RERE,PRKCB,EP400,SMYD3,SRPK2,TOP1,AXIN1,RPS6KA4,MTA2"
BP,positive regulation of ubiquitin protein ligase activity,9,2,0.0033090283527331833,1,"FZR1,BTRC"
BP,protein localization to adherens junction,6,2,0.0036007844957088673,1,"VCL,DLG5"
BP,very long-chain fatty acid beta-oxidation,1,1,0.0038637610653970236,1,ACOX1
MF,purinergic nucleotide receptor activity,19,2,0.00399446788270201,1,"P2RY2,PTAFR"
MF,nucleotide receptor activity,19,2,0.00399446788270201,1,"P2RY2,PTAFR"
BP,assembly of large subunit precursor of preribosome,1,1,0.004676654408611634,1,EIF6
CC,H4 histone acetyltransferase complex,45,3,0.0047081710185348825,1,"BRD8,KANSL1,EP400"
BP,positive regulation of macromolecule metabolic process,3458,44,0.004719247035142357,1,"BRD8,CHP1,ELK4,ETS1,FCER2,FOXK1,TNIK,CUX2,RYBP,ZNF521,AUTS2,FBXW8,EHF,SLCO3A1,KANSL1,STPG4,ZBTB48,HMGA1,EIF6,RERE,NFIA,IL20,FZR1,PDE4D,CAB39,BCL11A,NDFIP2,PRG2,PRKCB,PTAFR,SLC24A3,EP400,RPS6KA2,RREB1,SMYD3,CREB3L2,SRPK2,CARD14,AXIN1,BTRC,RPS6KA4,IL1RL1,MTA2,BABAM2"
BP,hemidesmosome assembly,6,2,0.004883835503280213,1,"LAMA3,DST"
MF,interleukin-1 type I receptor antagonist activity,1,1,0.005103908404890484,1,IL1RN
MF,interleukin-1 type II receptor antagonist activity,1,1,0.005103908404890484,1,IL1RN
MF,interleukin-22 receptor binding,2,1,0.005153424166941746,1,IL20
MF,low-affinity IgE receptor activity,1,1,0.005531741569015971,1,FCER2
BP,Fc receptor-mediated immune complex endocytosis,1,1,0.005531741569015971,1,FCER2
MF,"DNA binding, bending",18,2,0.005543079012925934,1,"HMGA1,TOP1"
BP,adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process,9,2,0.0055701830882915445,1,"AKAP13,PDE4D"
MF,interleukin-33 binding,1,1,0.005660469886067115,1,IL1RL1
BP,intestinal cholesterol absorption,18,2,0.005840603862913608,1,"LPCAT3,CEL"
CC,hemidesmosome,7,2,0.005876343738906156,1,"LAMA3,DST"
BP,positive regulation of B cell receptor signaling pathway,10,2,0.006082357716436109,1,"PRKCB,PRKCH"
BP,CTP catabolic process,1,1,0.006313531944674543,1,ENTPD7
BP,pyrimidine ribonucleoside triphosphate catabolic process,1,1,0.006313531944674543,1,ENTPD7
BP,UTP catabolic process,1,1,0.006313531944674543,1,ENTPD7
MF,ubiquitin-protein transferase activator activity,13,2,0.006316052602281511,1,"FZR1,BTRC"
BP,B cell antigen processing and presentation,2,1,0.0066217068791084134,1,FCER2
CC,Swr1 complex,13,2,0.006809902407285215,1,"BRD8,EP400"
BP,positive regulation of interleukin-5 production,10,2,0.006872423375355289,1,"PDE4D,IL1RL1"
MF,histone H3 kinase activity,11,2,0.00722420752069942,1,"PRKCB,RPS6KA4"
BP,histone lysine methylation,33,3,0.007265579819993241,1,"AUTS2,KANSL1,SMYD3"
BP,cellular hypotonic response,11,2,0.007411365247938409,1,"CAB39,SLC12A6"
BP,cellular response to gravity,1,1,0.007461466433990642,1,PTAFR
BP,regulation of maternal process involved in parturition,1,1,0.007461466433990642,1,PTAFR
BP,positive regulation of maternal process involved in parturition,1,1,0.007461466433990642,1,PTAFR
BP,response to 2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine,1,1,0.007461466433990642,1,PTAFR
BP,cellular response to 2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine,1,1,0.007461466433990642,1,PTAFR
CC,microtubule cytoskeleton,1372,22,0.00749116407342054,1,"PATJ,CHP1,DYNLT5,KIF1B,UBR4,SERINC5,FBXW8,CCDC57,IL1RN,PDE4D,TRAPPC14,PRKCB,CTNNBL1,RPS6KA2,DST,CSTPP1,MCPH1,CAPG,AXIN1,TUBA1C,WDR73,DLG5"
BP,histone H4 acetylation,14,2,0.007766668839612432,1,"AUTS2,EP400"
MF,guanine deaminase activity,1,1,0.00796682083362983,1,GDA
BP,lactose biosynthetic process,2,1,0.008807733348674185,1,B4GALT1
BP,regulation of ubiquitin protein ligase activity,18,2,0.008887846396906063,1,"FZR1,BTRC"
BP,positive regulation of NF-kappaB transcription factor activity,149,5,0.009181548880657092,1,"SLCO3A1,PRKCB,PRKCH,CARD14,RPS6KA4"
BP,lipid digestion,22,2,0.009186111546554026,1,"LPCAT3,CEL"
BP,regulation of histone H3-K4 methylation,13,2,0.009282560078581985,1,"AUTS2,KANSL1"
BP,positive regulation of histone H3-K4 methylation,13,2,0.009282560078581985,1,"AUTS2,KANSL1"
BP,intestinal lipid absorption,22,2,0.00949322837736717,1,"LPCAT3,CEL"
BP,histone acetylation,50,3,0.00955764517183447,1,"BRD8,AUTS2,EP400"
BP,positive regulation of brown fat cell differentiation,16,2,0.00960617557094476,1,"METRNL,RREB1"
BP,histone methylation,38,3,0.009687227346319912,1,"AUTS2,KANSL1,SMYD3"
BP,peptidyl-lysine modification,217,6,0.010076656193811588,1,"BRD8,AUTS2,KANSL1,BCL11A,EP400,SMYD3"
MF,IgE receptor activity,3,1,0.010575901469454953,1,FCER2
BP,positive regulation of ubiquitin-protein transferase activity,21,2,0.010713646886270361,1,"FZR1,BTRC"
MF,ubiquitin ligase-substrate adaptor activity,53,3,0.011018514597817483,1,"FZR1,AXIN1,BTRC"
BP,hypotonic response,13,2,0.011181240910926572,1,"CAB39,SLC12A6"
BP,nuclear body organization,16,2,0.011240540570152986,1,"ETS1,SRPK2"
BP,ribonucleoside triphosphate catabolic process,2,1,0.011628901952468167,1,ENTPD7
CC,pyruvate dehydrogenase (lipoamide) phosphatase complex,2,1,0.011757638874597335,1,PDPR
BP,defense response to nematode,3,1,0.011815597063192827,1,PRG2
MF,lipid antigen binding,5,1,0.01208450674186809,1,CD1D
MF,endogenous lipid antigen binding,5,1,0.01208450674186809,1,CD1D
MF,exogenous lipid antigen binding,5,1,0.01208450674186809,1,CD1D
BP,"antigen processing and presentation, endogenous lipid antigen via MHC class Ib",5,1,0.01208450674186809,1,CD1D
BP,positive regulation of keratinocyte differentiation,19,2,0.012112119271800831,1,"IL20,PRKCH"
MF,A1 adenosine receptor binding,2,1,0.012282557808133615,1,P2RY2
BP,regulation of post-translational protein modification,280,7,0.012328190868381054,1,"CHP1,AUTS2,KANSL1,FZR1,NDFIP2,AXIN1,BTRC"
BP,adherens junction assembly,13,2,0.012631582716249727,1,"VCL,DLG5"
BP,internal peptidyl-lysine acetylation,55,3,0.012672821110155651,1,"BRD8,AUTS2,EP400"
BP,positive regulation of histone methylation,16,2,0.012774101819752809,1,"AUTS2,KANSL1"
BP,positive regulation of protein ubiquitination,107,4,0.01301790628421319,1,"FZR1,NDFIP2,AXIN1,BTRC"
BP,branching morphogenesis of a nerve,12,2,0.013211586055588984,1,"RERE,BCL11A"
BP,guanine catabolic process,2,1,0.013340156685881567,1,GDA
BP,deoxyguanosine catabolic process,2,1,0.013340156685881567,1,GDA
BP,deoxyguanosine metabolic process,2,1,0.013340156685881567,1,GDA
CC,histone deacetylase complex,82,4,0.013534275479393069,1,"BRD8,RERE,EP400,MTA2"
CC,electron transfer flavoprotein complex,2,1,0.01362884150126267,1,ETFB
BP,positive regulation of leukocyte adhesion to vascular endothelial cell,26,2,0.013775562318657411,1,"ETS1,PTAFR"
CC,SWI/SNF superfamily-type complex,92,4,0.013801355384758452,1,"BRD8,BCL11A,EP400,MTA2"
BP,peptidyl-amino acid modification,931,16,0.01409526411880586,1,"BRD8,FKBP1A,AUTS2,KANSL1,IL20,PDE4D,CAB39,BCL11A,PRKCB,PRKCH,EP400,RPS6KA2,SMYD3,SRPK2,TOP1,AXIN1,RPS6KA4,SH3BP5"
BP,G protein-coupled receptor signaling pathway involved in heart process,18,2,0.014406822654403394,1,"AKAP13,PDE4D"
BP,interleukin-5 production,19,2,0.01442824808364092,1,"PDE4D,IL1RL1"
BP,regulation of interleukin-5 production,19,2,0.01442824808364092,1,"PDE4D,IL1RL1"
