Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Ubiquitin mediated proteolysis,142,6,4.225352112676056,0.00226202934144436,0.8414749150173036,"RHOBTB2,FBXW8,FZR1,SMURF2,UBE2G1,BTRC"
Glycosaminoglycan biosynthesis - keratan sulfate,14,1,7.142857142857142,0.13775373871735025,1,B4GALT1
Lipoic acid metabolism,19,1,5.263157894736842,0.11645425941057452,1,OGDH
Steroid biosynthesis,20,1,5,0.12967682998084254,1,CEL
Mannose type O-glycan biosynthesis,23,1,4.3478260869565215,0.19427464223985813,1,B4GALT1
Other types of O-glycan biosynthesis,49,2,4.081632653061225,0.09619323462917324,1,"COLGALT2,B4GALT1"
Amoebiasis,100,4,4,0.01831763960551388,1,"LAMA3,PRKCB,VCL,CD1D"
alpha-Linolenic acid metabolism,26,1,3.8461538461538463,0.16589397923115598,1,ACOX1
Biosynthesis of unsaturated fatty acids,27,1,3.7037037037037033,0.2288736753594905,1,ACOX1
Polycomb repressive complex,83,3,3.614457831325301,0.05612474179517786,1,"FOXK1,RYBP,AUTS2"
Hedgehog signaling pathway,56,2,3.571428571428571,0.16187927482535353,1,"SMURF2,BTRC"
Glycosphingolipid biosynthesis - lacto and neolacto series,28,1,3.571428571428571,0.19240188298982663,1,B4GALT1
"Parathyroid hormone synthesis, secretion and action",115,4,3.4782608695652173,0.05662353650631521,1,"AKAP13,PDE4D,PRKCB,CREB3L2"
Asthma,29,1,3.4482758620689653,0.17641969670582655,1,PRG2
Citrate cycle (TCA cycle),30,1,3.3333333333333335,0.1984688782262209,1,OGDH
