Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Type I diabetes mellitus,42,4,9.523809523809524,1.7703529132439343e-4,0.06585712837267435,"HLA-DQB1,HLA-DRB1,HLA-G,PTPRN2"
Allograft rejection,36,3,8.333333333333332,0.00131428275189183,0.17847652744153972,"HLA-DQB1,HLA-DRB1,HLA-G"
Graft-versus-host disease,39,3,7.6923076923076925,0.00143932683420596,0.17847652744153972,"HLA-DQB1,HLA-DRB1,HLA-G"
Autoimmune thyroid disease,51,3,5.88235294117647,0.00231308839188321,0.21511722044513865,"HLA-DQB1,HLA-DRB1,HLA-G"
Glycerophospholipid metabolism,102,4,3.9215686274509802,0.00479415262445609,0.30917408570055976,"SGMS1,LPCAT1,DGKI,PGS1"
Staphylococcus aureus infection,93,3,3.225806451612903,0.00498667880162193,0.30917408570055976,"HLA-DQB1,HLA-DRB1,C3"
Inflammatory bowel disease,64,3,4.6875,0.00615452810587116,0.32706920791201055,"HLA-DQB1,HLA-DRB1,SMAD3"
Antigen processing and presentation,71,3,4.225352112676056,0.00828748766862358,0.3425494903031083,"HLA-DQB1,HLA-DRB1,HLA-G"
Leishmaniasis,75,3,4,0.00770357314514709,0.3425494903031083,"HLA-DQB1,HLA-DRB1,C3"
Asthma,29,2,6.896551724137931,0.0093747065722278,0.34873908448687446,"HLA-DQB1,HLA-DRB1"
Rheumatoid arthritis,91,3,3.296703296703297,0.01057844919638106,0.35774391827761426,"HLA-DQB1,HLA-DRB1,TEK"
Systemic lupus erythematosus,122,3,2.459016393442623,0.01206558462785659,0.37403312346355455,"HLA-DQB1,HLA-DRB1,C3"
Starch and sucrose metabolism,35,2,5.714285714285714,0.01341714219578204,0.3839366843716094,"GAA,HK2"
Galactose metabolism,31,2,6.451612903225806,0.01468395730056413,0.39017372255784705,"GAA,HK2"
Viral myocarditis,67,3,4.477611940298507,0.01642238539881076,0.4034358758512325,"HLA-DQB1,HLA-DRB1,HLA-G"
