Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Thiamine metabolism,15,1,6.666666666666667,0.1157927885425752,1,AK4
Virion - Lassa virus and SFTS virus,17,1,5.88235294117647,0.15218908773120854,1,MYH11
Integrated stress response (ISR) signaling pathway,51,2,3.9215686274509802,0.03267216633082193,1,"GRB10,TRIB3"
Polycomb repressive complex,83,3,3.614457831325301,0.02829026618617963,1,"SCMH1,AUTS2,MBD5"
Glycosphingolipid biosynthesis - lacto and neolacto series,28,1,3.571428571428571,0.14513444936458397,1,B3GNT3
Hippo signaling pathway - multiple species,29,1,3.4482758620689653,0.26325675566089846,1,NF2
Pentose phosphate pathway,31,1,3.225806451612903,0.15585545808723555,1,PFKP
Galactose metabolism,31,1,3.225806451612903,0.1855878347534075,1,PFKP
Autophagy - other,32,1,3.125,0.195866495514202,1,ATG5
Central carbon metabolism in cancer,70,2,2.857142857142857,0.12768909672013168,1,"MET,PFKP"
Fructose and mannose metabolism,36,1,2.7777777777777777,0.19980082317897457,1,PFKP
Mucin type O-glycan biosynthesis,36,1,2.7777777777777777,0.26438274017372965,1,B3GNT3
Thyroid cancer,37,1,2.7027027027027026,0.28164954135416553,1,CCDC6
Bacterial invasion of epithelial cells,77,2,2.5974025974025974,0.15689398172432323,1,"FN1,MET"
Ferroptosis,41,1,2.4390243902439024,0.23351565305541816,1,ATG5
