Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Ubiquitin mediated proteolysis,142,7,4.929577464788732,5.076176438752006e-4,0.1888337635215746,"RHOBTB2,FBXW8,FZR1,ANAPC11,SMURF2,UBE2G1,BTRC"
Lipoic acid metabolism,19,2,10.526315789473683,0.00721733292127217,1,"DLST,OGDH"
Glycosaminoglycan biosynthesis - keratan sulfate,14,1,7.142857142857142,0.14297064883914917,1,B4GALT1
Citrate cycle (TCA cycle),30,2,6.666666666666667,0.02155732523980984,1,"DLST,OGDH"
2-Oxocarboxylic acid metabolism,33,2,6.0606060606060606,0.02301121420956288,1,"DLST,OGDH"
Fatty acid biosynthesis,17,1,5.88235294117647,0.19383208090090187,1,ACSL1
Steroid biosynthesis,20,1,5,0.1358870145791178,1,CEL
Tryptophan metabolism,41,2,4.878048780487805,0.03305873834397617,1,"DLST,ALDH2"
Ferroptosis,41,2,4.878048780487805,0.05238261730456757,1,"LPCAT3,ACSL1"
Lysine degradation,63,3,4.761904761904762,0.03079941883984501,1,"DLST,ALDH2,SMYD3"
Pantothenate and CoA biosynthesis,21,1,4.761904761904762,0.18196557856757423,1,ALDH2
Fatty acid degradation,43,2,4.651162790697675,0.0376996055872766,1,"ALDH2,ACSL1"
Aminoacyl-tRNA biosynthesis,43,2,4.651162790697675,0.05672911012296851,1,"FARSA,GATB"
Histidine metabolism,22,1,4.545454545454546,0.14253803894805192,1,ALDH2
Morphine addiction,91,4,4.395604395604396,0.03537638379320115,1,"GRK5,PDE4D,PRKCB,GNG12"
