Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Ubiquinone and other terpenoid-quinone biosynthesis,12,1,8.333333333333332,0.04219777668733363,1,COQ3
Virion - Lassa virus and SFTS virus,17,1,5.88235294117647,0.14718782909154535,1,MYH10
Type I diabetes mellitus,42,2,4.761904761904762,0.03588715292151877,1,"HLA-DPB1,PTPRN2"
Leishmaniasis,75,3,4,0.00838464823423121,1,"HLA-DPB1,JAK2,C3"
Phototransduction,28,1,3.571428571428571,0.1284241385461946,1,GNB1
Glycosphingolipid biosynthesis - lacto and neolacto series,28,1,3.571428571428571,0.1360234211952347,1,ST3GAL6
Glutathione metabolism,58,2,3.4482758620689653,0.02147949079408449,1,"GSTT4,GSTT1"
Asthma,29,1,3.4482758620689653,0.14176204803685305,1,HLA-DPB1
Folate transport and metabolism,30,1,3.3333333333333335,0.15358931134602474,1,ABCG2
Antifolate resistance,30,1,3.3333333333333335,0.170930506245486,1,ABCG2
Th1 and Th2 cell differentiation,91,3,3.296703296703297,0.0304118254279276,1,"HLA-DPB1,JAK2,MAML3"
Glycerolipid metabolism,64,2,3.125,0.06863703840434088,1,"LIPC,PNLIPRP2"
Autophagy - other,32,1,3.125,0.18164701037071668,1,RPTOR
Chemical carcinogenesis - DNA adducts,70,2,2.857142857142857,0.01892812454957361,1,"GSTT4,GSTT1"
Drug metabolism - cytochrome P450,71,2,2.8169014084507045,0.01839181985525903,1,"GSTT4,GSTT1"
