Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
"Neomycin, kanamycin and gentamicin biosynthesis",5,1,20,0.05081073150239246,1,HK2
Primary bile acid biosynthesis,17,1,5.88235294117647,0.07412248034673778,1,CYP7B1
Carbohydrate digestion and absorption,46,2,4.3478260869565215,0.04177043965542171,1,"HK2,CACNA1D"
Type II diabetes mellitus,46,2,4.3478260869565215,0.07362347328313501,1,"HK2,CACNA1D"
Galactose metabolism,31,1,3.225806451612903,0.18485518549813837,1,HK2
RNA polymerase,34,1,2.941176470588235,0.1515593579186498,1,CRCP
Renin secretion,69,2,2.898550724637681,0.09587112673043809,1,"KCNMA1,CACNA1D"
Central carbon metabolism in cancer,70,2,2.857142857142857,0.123015947714503,1,"HK2,PDK1"
Starch and sucrose metabolism,35,1,2.857142857142857,0.175524543376188,1,HK2
Primary immunodeficiency,36,1,2.7777777777777777,0.1836086047891981,1,BLNK
Fructose and mannose metabolism,36,1,2.7777777777777777,0.20230983096118493,1,HK2
Biosynthesis of nucleotide sugars,37,1,2.7027027027027026,0.20209194957301305,1,HK2
Amino sugar and nucleotide sugar metabolism,38,1,2.631578947368421,0.19600151618130912,1,HK2
Type I diabetes mellitus,42,1,2.380952380952381,0.2691088591554315,1,PTPRN2
Insulin secretion,86,2,2.3255813953488373,0.1932085253230381,1,"KCNMA1,CACNA1D"
