Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Taurine and hypotaurine metabolism,16,1,6.25,0.0986157875158733,1,FMO2
Type I diabetes mellitus,42,2,4.761904761904762,0.05146297488076822,1,"HLA-A,PTPRN2"
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,21,1,4.761904761904762,0.18192390330848457,1,CHSY3
Proximal tubule bicarbonate reclamation,23,1,4.3478260869565215,0.15155575848908867,1,FXYD2
Mannose type O-glycan biosynthesis,23,1,4.3478260869565215,0.1734441185791071,1,FKRP
Butanoate metabolism,27,1,3.7037037037037033,0.16789774769805457,1,AACS
Viral myocarditis,67,2,2.9850746268656714,0.15020816862918546,1,"HLA-A,ITGAL"
Allograft rejection,36,1,2.7777777777777777,0.24569246789904928,1,HLA-A
Nicotinate and nicotinamide metabolism,37,1,2.7027027027027026,0.2172043279364596,1,NNMT
Aldosterone-regulated sodium reabsorption,37,1,2.7027027027027026,0.31125570579767153,1,FXYD2
Glioma,75,2,2.666666666666667,0.18757692292614392,1,"E2F3,CAMK2G"
Integrin signaling,153,4,2.6143790849673203,0.09025606872367928,1,"TNC,ITGAE,ITGAL,NCK2"
Inositol phosphate metabolism,78,2,2.564102564102564,0.16901717905217103,1,"ITPKB,MTMR3"
Graft-versus-host disease,39,1,2.564102564102564,0.25126311340367363,1,HLA-A
Homologous recombination,41,1,2.4390243902439024,0.25507187524625835,1,BABAM2
