Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Ubiquinone and other terpenoid-quinone biosynthesis,12,1,8.333333333333332,0.06340923788498923,1,COQ2
Taurine and hypotaurine metabolism,16,1,6.25,0.09973896929796816,1,FMO2
Steroid biosynthesis,20,1,5,0.12261085764573453,1,FDFT1
Type I diabetes mellitus,42,2,4.761904761904762,0.0514327430202096,1,"HLA-A,PTPRN2"
Histidine metabolism,22,1,4.545454545454546,0.1311132292970798,1,HDC
Mismatch repair,23,1,4.3478260869565215,0.14390589029488968,1,MLH3
Proximal tubule bicarbonate reclamation,23,1,4.3478260869565215,0.15221299945268466,1,FXYD2
"Valine, leucine and isoleucine degradation",48,2,4.166666666666666,0.04962979093024065,1,"IVD,AACS"
Butanoate metabolism,27,1,3.7037037037037033,0.16715104124619037,1,AACS
Collecting duct acid secretion,27,1,3.7037037037037033,0.17669411315697195,1,ATP6V0D1
Phototransduction,28,1,3.571428571428571,0.16225108955917444,1,SAG
Thyroid hormone signaling pathway,121,4,3.3057851239669422,0.04045390653956902,1,"NCOA2,FXYD2,THRA,NCOA3"
Endocrine resistance,96,3,3.125,0.08203215365897319,1,"E2F3,PTK2,NCOA3"
Allograft rejection,36,1,2.7777777777777777,0.24535037711566465,1,HLA-A
Aldosterone-regulated sodium reabsorption,37,1,2.7027027027027026,0.3120606467969167,1,FXYD2
