Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Apoptosis - multiple species,32,2,6.25,0.02454584616936269,1,"BCL2L11,CASP9"
Selenocompound metabolism,17,1,5.88235294117647,0.11541251975246956,1,SCLY
Mucin type O-glycan biosynthesis,36,2,5.555555555555555,0.04711307006914495,1,"ST6GALNAC1,GALNT16"
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,21,1,4.761904761904762,0.18304658474761001,1,CHSY3
GnRH secretion,64,3,4.6875,0.03403262760015654,1,"PRKCA,CACNA1D,CACNA1S"
Arrhythmogenic right ventricular cardiomyopathy,86,4,4.651162790697675,0.01705005018452982,1,"DMD,CACNG7,CACNA1D,CACNA1S"
Mannose type O-glycan biosynthesis,23,1,4.3478260869565215,0.16962335179835744,1,FKRP
Progesterone-mediated oocyte maturation,98,4,4.081632653061225,0.0099791110890161,1,"RPS6KA2,STK10,MAD1L1,CDC27"
Hypertrophic cardiomyopathy,99,4,4.040404040404041,0.01706275884868566,1,"DMD,CACNG7,CACNA1D,CACNA1S"
Dilated cardiomyopathy,104,4,3.8461538461538463,0.02497514785428717,1,"DMD,CACNG7,CACNA1D,CACNA1S"
EGFR tyrosine kinase inhibitor resistance,78,3,3.8461538461538463,0.06179370027539371,1,"BCL2L11,JAK1,PRKCA,BAD"
Cardiac muscle contraction,83,3,3.614457831325301,0.02785296832691668,1,"CACNG7,CACNA1D,CACNA1S"
Hedgehog signaling pathway,56,2,3.571428571428571,0.12910843153592158,1,"GPR161,GLI2"
Colorectal cancer,86,3,3.488372093023256,0.04732224924831856,1,"BCL2L11,APC2,BAD,CASP9"
Insulin secretion,86,3,3.488372093023256,0.06360765542102298,1,"PRKCA,CACNA1D,CACNA1S"
