ONTOLOGY,TERM,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
BP,protein lipidation involved in autophagosome assembly,1,1,100,0.00271624702498196,1,IRGM
BP,cGAS/STING signaling pathway,1,1,100,0.00271624702498196,1,IRGM
BP,negative regulation of cGAS/STING signaling pathway,1,1,100,0.00271624702498196,1,IRGM
BP,symmetric cell division,1,1,100,0.00296501085615488,1,SAPCD2
BP,negative regulation of protein localization to cell cortex,1,1,100,0.00296501085615488,1,SAPCD2
CC,growth cone leading edge,1,1,100,0.00251180883514026,1,ARPC3
CC,MAD1 complex,1,1,100,0.01714956465322405,1,MAD1L1
CC,sweet taste receptor complex,2,1,50,0.00592349639660242,1,TAS1R2
CC,taste receptor complex,2,1,50,0.00592349639660242,1,TAS1R2
CC,amylin receptor complex 3,2,1,50,0.01448221213228563,1,RAMP3
MF,galactolipase activity,1,1,100,0.00256374032962575,1,PNLIPRP2
MF,1-18:1-2-16:0-monogalactosyldiacylglycerol lipase activity,1,1,100,0.00256374032962575,1,PNLIPRP2
MF,hexaprenyldihydroxybenzoate methyltransferase activity,1,1,100,0.00307428069270778,1,COQ3
MF,3-demethylubiquinone-9 3-O-methyltransferase activity,1,1,100,0.00307428069270778,1,COQ3
MF,"3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity",1,1,100,0.00307428069270778,1,COQ3
