Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
"Neomycin, kanamycin and gentamicin biosynthesis",5,1,20,0.04264549339597053,1,HK2
Galactose metabolism,31,2,6.451612903225806,0.01251236957738496,1,"GAA,HK2"
Starch and sucrose metabolism,35,2,5.714285714285714,0.01156090398580877,1,"GAA,HK2"
Lipoic acid metabolism,19,1,5.263157894736842,0.07688182637366447,1,BCKDHA
Type I diabetes mellitus,42,2,4.761904761904762,0.02797632971989267,1,"HLA-DRB1,PTPRN2"
Ether lipid metabolism,51,2,3.9215686274509802,0.02356320984371062,1,"LPCAT1,PLPP3"
Autoimmune thyroid disease,51,2,3.9215686274509802,0.02508012609690558,1,"HLA-DRB1,TPO"
Biosynthesis of unsaturated fatty acids,27,1,3.7037037037037033,0.15345678596856932,1,ACOT1
Fatty acid elongation,28,1,3.571428571428571,0.13793389079427046,1,ACOT1
Asthma,29,1,3.4482758620689653,0.1260355231090256,1,HLA-DRB1
Glycerolipid metabolism,64,2,3.125,0.05573749370441466,1,"LCLAT1,PLPP3"
Propanoate metabolism,32,1,3.125,0.16739069432816836,1,BCKDHA
2-Oxocarboxylic acid metabolism,33,1,3.0303030303030303,0.1308020992649793,1,BCKDHA
Glycerophospholipid metabolism,102,3,2.941176470588235,0.02577109496230869,1,"LCLAT1,LPCAT1,PLPP3"
Central carbon metabolism in cancer,70,2,2.857142857142857,0.09127866737337063,1,"HK2,PDK1"
